Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
Infinant Health,https://www.infinanthealth.com/,Davis,,,Probiotic Bacteria,,BPG,1099
Infixion Bioscience,https://www.infixionbio.com/,San Diego,,,Neurofibromatosis Type 1 Treatments,,BPG,1102
Initial Therapeutics,https://initialtx.com/,South SF,,,Selective Termination of protein Synthesis Platform,,BPG,1105
Innophore,https://innophore.com/,San Francisco,,,Structural Sequencing Software and AI,,BPG,1109
Innovative Device Technologies,https://idtechllc.com/,Fremont,,,Product Development,,BPG,1111
Inquis Medical,https://inquismedical.com/,Menlo Park,,,Venous thromboembolism treatment,,BPG,1117
Insamo,https://www.insamo.com/,Berkeley,,,Membrane-permeable & orally available cyclic-peptides,,BPG,1118
Intact Therapeutics,https://intacttherapeutics.com/,Palo Alto,,,GI Therapies,,BPG,1121
Integrated Biosciences,https://integratedbiosciences.com/,San Carlos,,,Synthetic biology technology to discover drugs targeting stressed cells,,BPG,1124
Intellia Therapeutics,https://www.intelliatx.com,,,,,"Intellia Therapeutics, Inc. is an American clinical-stage biotechnology company focused on developing novel, potentially curative therapeutics leveraging CRISPR-based technologies.",Wikipedia,1127
Intelligent Therapeutics,https://inteltherapeutics.com/,La Jolla,,,Antibodies and antibody-like molecules,,BPG,1128
InterVene,https://intervene-med.com/,Redwood City,,,Catheter based therapy,,BPG,1129
InterVenn BioSciences,https://intervenn.com/,South SF,,,Cancer Diagnostic,,BPG,1130
Interdict,https://www.interdictbio.com/,San Francisco,,,Small Molecules,,BPG,1132
International Process Solutions,https://ips-us.com/,Irvine,,,"Calibration, validation, preventative maintenance, and data management services",,BPG,1133
Intune,https://www.intune.bio/,Pasadena,,,"IVD or medical device product development, analytical & clinical validation, regulatory approval",,BPG,1139
InvVax,https://www.inv-vax.com/,Pasadena,,,Flu Virus Technology,,BPG,1140
Iolyx Therapeutics,https://iolyx.com/,Burlingame,,,Ophthalmology Therapies,,BPG,1146
Ion Dx,https://www.iondx.com/,Monterey,,,"Ion Mobility Spectrometer, Associated Services",,BPG,1147
Iris Medicine,https://irismedicine.com/,Berkeley,,,Small Binding RNA,,BPG,1150
Ironfist Therapeutics,https://ironfisttx.com/,Redwood City,,,Radiopharmaceuticals,,BPG,1151
Isolation Bio,https://isolationbio.com/,Palo Alto,,,Microbial Cultivation Device,,BPG,1153
Jade Biosciences,https://jadebiosciences.com/,San Francisco,,,Autoimmune Therapies,,BPG,1158
Jaya Biosciences,https://www.jayabio.com/,South SF,,,CNS-directed gene therapies,,BPG,1162
JeniVision,https://jenivision.com/,Irvine,,,"Ophthalmology therapies, non-invasive ocular therapies",,BPG,1165
Johnson & Johnson,https://www.jnj.com,,,,,"Johnson & Johnson (J&J) is an American multinational pharmaceutical, biotechnology, and medical technologies corporation headquartered in New Brunswick, New Jersey, and publicly traded on the New Y...",Wikipedia,1166
Johnson and Johnson Innovative Medicine,https://innovativemedicine.jnj.com/,San Diego,,,"Small Molecules, Biologics",,BPG,1167
Jones Pharma,http://www.thrombin-jmi.com/,,,,,"Jones Pharma is a specialty pharmaceuticals manufacturer and marketer based in St. Louis, Missouri. The company was founded on March 16, 1981, by Dennis M.",Wikipedia,1168
Junevity,https://www.junevity.com/,San Francisco,,,Long-lasting siRNA Therapies,,BPG,1170
KARE Biosciences,https://karebio.com/,Orange,,,Repurposed Drugs,,BPG,1174
Kadmon Corporation,https://kadmon.com,,,,,"Kadmon Corporation (originally Kadmon Pharmaceuticals) is a biopharmaceutical company based in New York City. It also has operations in Warrendale, PA and Brighton, MA.",Wikipedia,1179
Kailera Therapeutics,https://www.kailera.com/,San Diego,,,"Peptides, Small Molecules",,BPG,1181
Kairos Pharma,https://kairospharma.com/,Los Angeles,,,"Cell Therapy, Antibodies, Small Molecules",,BPG,1183
Kamau Therapeutics,https://kamautx.com/,South SF,,,Gene Correction Technology,,BPG,1185
Kartos Therapeutics,https://www.kartosthera.com/,Redwood City,,,Oral MDM2 Inhibitor,,BPG,1189
Kelaroo,https://www.kelaroo.com/,San Diego,,,Software for Biopharm Companies,,BPG,1190
Kelliop,http://www.kelliop.com/,Newark,,,Diagnostic Reader,,BPG,1191
Kenai Therapeutics,https://www.kenaitx.com/,San Diego,,,iPSC dopamine progenitor,,BPG,1192
Kerna Labs,https://kernalabs.ai/,San Francisco,,,AI and high-throughput biology - RNA therapeutics,,BPG,1193
Kernel Flow,https://www.kernel.com/,Culver City,,,Brain Scan Device,,BPG,1194
Keylika,https://www.keylika.com/,San Francisco,,,Transdermal Iron Patch,,BPG,1195
Kimia Therapeutics,https://www.kimiatx.com/,Berkeley,,,Treatment for metabolic disease,,BPG,1198
Kinetic Concepts,http://www.kci1.com,,,,,"Kinetic Concepts, Inc., (KCI) is a global corporation that produces medical technology related to wounds and wound healing.",Wikipedia,1200
Kiora Pharmaceuticals,https://kiorapharma.com/,Encinitas,,,"Drug Delivery, Ocular Drugs",,BPG,1202
Kite Pharma,https://www.kitepharma.com/,El Segundo,,,"Engineered Autologous T Cell Therapy, CAR-T",,BPG,1203
Kivu Bioscience,https://kivubioscience.com/,San Francisco,,,ADCs,,BPG,1204
KlyneAI,https://www.klyne.ai/,San Francisco,,,CRO for in silico hit discovery,,BPG,1205
Koya Medical,https://www.koyamedical.com/,Oakland,,,Active continuous sequential compression treatment,,BPG,1209
KuriBio,https://www.kuribio.com/,San Francisco,,,Nanoparticles to treat B-cell lymphoma,,BPG,1214
LIPAC Oncology,https://www.lipaconcology.com/,Menlo Park,,,Intravesical delivery,,BPG,1221
