Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
Cisterna Biologics,https://www.cisternabx.com/,Carlsbad,,,RNA Production,,BPG,611
Civica Rx,http://www.civicarx.org,,,,,Civica Rx is a nonprofit generic drug company founded in 2018 by leading U.S.,Wikipedia,612
ClearPath Surgical,https://www.clearpathsurgical.com/,Orange,,,Surgical Devices,,BPG,618
Cleo Life Sciences,https://www.cleolifesciences.com/,South SF,,,"CMC Consulting, Contract Research",,BPG,620
Clinuvel Pharmaceuticals,https://www.clinuvel.com/,Burlingame,,,Small Molecules,,BPG,624
Cloudbreak Pharmaceutical,https://cloudbreakpharma.com/,Irvine,,,Pterygium Treatment,,BPG,626
Clovis Oncology,http://clovisoncology.com/products-companion-diagnostics,,,,,"Clovis Oncology is an American pharmaceutical company which mainly markets products for treatment in oncology. Clovis was founded in 2009 and is headquartered in Boulder, Colorado.",Wikipedia,627
CoA Therapeutics,https://coatherapeutics.com/,San Francisco,,,Drugs targeting Coenzyme-A,,BPG,628
CoaguSense,https://coag-sense.com/,Fremont,,,Coagulation monitor,,BPG,629
Coagulant Therapeutics,https://www.coagulanttherapeutics.com/,Berkeley,,,RFVIIa analogue,,BPG,630
Coherence Neuro,https://coherenceneuro.com/,San Francisco,,,Cancer Therapy Wearable,,BPG,636
Collaborative Clinical Research Consulting,https://ccrc-inc.com/,Carlsbad,,,Clinical Consulting,,BPG,638
Combe Incorporated,http://www.combe.com/,,,,,"Combe Incorporated, based in White Plains, New York, is an American personal-care company founded in 1949 by Ivan Combe. Combe products are sold in 64 countries on six continents.",Wikipedia,641
Compugen,https://cgen.com/,San Francisco,,,Biologics,,BPG,645
ConKay Medical Systems,https://www.conkaymedical.com/,Pleasanton,,,Advancing solutions to treat valvular regurgitation in patients with progressive heart failure,,BPG,646
Conception,https://conception.bio/,Berkeley,,,Conversion of cells into eggs,,BPG,648
Concuir Consulting,https://concuir.com/,Laguna Hills,,,"Management Consulting - Program and project management, project strategy and delivery, change management, quality, remediation consulting.",,BPG,649
ConfometRx,https://www.confometrx.com/,Santa Clara,,,Structure-based drug development tools,,BPG,652
Cooler Heads,https://coolerheads.com/,San Diego,,,Scalp Cooling,,BPG,655
Corsair Pharma,https://www.corsairpharma.com/,Sunnyvale,,,PAH treatment,,BPG,662
Cortex,https://www.cortexep.com/,Santa Clara,,,Mapping and ablation solution suite for the treatment of atrial fibrillation,,BPG,664
Cothera Bioscience,https://cotherabio.com/,San Mateo,,,Drug Screening,,BPG,667
CrossBay Medical,https://crossbaymedicalinc.com/,San Diego,,,Tissue Sampling Technology,,BPG,674
Crystalys Therapeutics,https://crystalystx.com/,San Diego,,,"Oral, URAT1 inhibitor for gout",,BPG,676
Cubit Diagnostics,https://www.cubitdx.com/,Carlsbad,,,Immunoassay Platform,,BPG,677
Cura Therapeutics,https://www.curatherapeutics.com/,Berkeley,,,Immunotherapies,,BPG,680
Curve Biosciences,https://www.curvebio.com/,San Mateo,,,Whole Body Intelligence Diagnostics,,BPG,688
Cyclarity Therapeutics,https://cyclaritytx.com/,Novato,,,7-ketocholesterol Targeting,,BPG,690
Cypre,https://cypre.com/,San Francisco,,,3D tumor modeling platform,,BPG,691
Cystetic Medicines,https://cysteticmedicines.com/,San Carlos,,,Small molecule channels that serve as molecular prosthetics for missing or dysfunctional CFTR protein,,BPG,692
CytRx,http://www.cytrx.com/,,,,,"CytRx Corp. is a biopharmaceutical research and development oncology company based in Los Angeles, California.",Wikipedia,693
Cytonus Therapeutics,https://cytonus.com/,Carlsbad,,,Cargocytes,,BPG,698
Da Zen Theranostics,http://www.dazenthera.com,San Jose,,,Cancer-targeting carrier dyes,,BPG,705
Dalton Bioanalytics,https://www.daltonbioanalytics.com/,Los Angeles,,,Mass Spec Blood Analysis,,BPG,706
Danco Laboratories,https://www.earlyoptionpill.com,,,,,Danco Laboratories is a pharmaceutical distributor located in midtown Manhattan which distributes the abortifacient drug mifepristone under the brand name Mifeprex.,Wikipedia,707
Darmiyan,https://darmiyan.com/,San Francisco,,,Brain Imaging,,BPG,710
Deciduous Therapeutics,https://www.deciduoustx.com/,San Francisco,,,Medicines that activate the endogenous immune mechanism responsible for the elimination of senescent cells,,BPG,714
Decipher Biosciences,https://decipherbio.com/,San Diego,,,Diagnostics,,BPG,715
Deep Apple Therapeutics,https://deepappletx.com/,San Francisco,,,Oral small molecule,,BPG,718
DeepSight Technology,https://www.deepsight.com/,Santa Clara,,,Next-gen Ultrasound,,BPG,719
Degron Therapeutics,https://www.degrontx.com/,San Diego,,,Molecular glue-based targeted protein degradation drug discovery platform,,BPG,722
DelNova,https://delnova.net/,San Diego,,,505(b)(2) repurposed drugs,,BPG,723
Delix Therapeutics,http://delixtherapeutics.com,,,,,"Delix Therapeutics is an American biotech company based in Boston, Massachusetts.",Wikipedia,724
