Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
RayThera,https://www.raythera.com/,San Diego,,,Small Molecule Therapies for Immunology,,BPG,1816
Raydiant Oximetry,https://raydiantoximetry.com/,San Ramon,,,Fetal Monitor,,BPG,1817
Razor Genomics,https://www.razorgenomics.com/,Brisbane,,,Molecular Diagnostics,,BPG,1819
ReBlood Rx,https://rebloodrx.com/,San Diego,,,Hemoglobin-based oxygen carrier,,BPG,1820
ReValve Solutions,https://revalvesolutions.com/,Irvine,,,Heart Valve Devices,,BPG,1823
ReacX Pharmaceuticals,https://reacxpharma.com/,San Francisco,,,Innovative drug delivery platform,,BPG,1824
Reata Pharmaceuticals,https://www.reatapharma.com,,,,,"Reata Pharmaceuticals, Inc. is a pharmaceutical company based in Plano, Texas.",Wikipedia,1826
Recognify Life Sciences,https://www.recognify.life/,San Francisco,,,Psychedelics,,BPG,1828
Recombinetics,https://www.technologyreview.com/s/614235/recombinetics-gene-edited-hornless-cattle-major-dna-screwup/,,,,,"Recombinetics is a St. Paul, Minnesota-based bio-engineering company. The company was founded in 2008, and has since raised $31 million from private investors.",Wikipedia,1829
RegCell,https://regcellbio.com/,Emeryville,,,T Reg Therapies,,BPG,1832
Regel Therapeutics,https://regeltherapeutics.com/,Berkeley,,,AAV gene delivery,,BPG,1833
Regenerative Patch Technologies,https://regenerativepatch.com/,Menlo Park,,,Cell-based Implant Technology,,BPG,1836
Rejuvenate Bio,https://rejuvenatebio.com/,San Diego,,,Gene Therapy for Aging,,BPG,1839
Rejuvenation Technologies,https://rejuvenationtech.com/,Mountain View,,,Telomere Extension via Nucleoside-modified TERT mRNA,,BPG,1840
Reliant Pharmaceuticals,http://www.pharmtech.com/glaxosmithkline-acquire-reliant-pharmaceuticals-165-billion,,,,,Reliant Pharmaceuticals was a company purchased by GlaxoSmithKline in December 2007 for $1.65B. Co-founded by Joseph J. Krivulka.,Wikipedia,1841
Relief Cardiovascular,https://www.reliefcardio.com/,Costa Mesa,,,Transcatheter smart implant,,BPG,1842
Renasant Bio,https://www.renasantbio.com/,Berkeley,,,Small molecules treating autosomal dominant polycystic kidney disease,,BPG,1843
Replay,https://replay.bio/,San Diego,,,HSV Vector Gene Therapies,,BPG,1847
Repros Therapeutics,http://www.reprosrx.com,,,,,"Repros Therapeutics Inc. was a US-based development stage biopharmaceutical company headquartered in The Woodlands, Texas.",Wikipedia,1849
Res Nova Bio,https://www.resnovabiologics.com/,Chula Vista,,,"Repurposed Drugs as Vaccines, Cell Therapy",,BPG,1850
Reservoir Neuroscience,https://www.reservoirneuro.com/,Emeryville,,,Therapy to Heal Blood-Brain Barrier,,BPG,1855
Resolute Science,https://resolutescience.com/,San Diego,,,Macrophage Targeted Conjugates,,BPG,1857
RetiNova Therapeutics,https://retinovatherapeutics.com/,San Diego,,,Regenerative medicine approaches for sensory-related diseases,,BPG,1862
Retro Biosciences,https://www.retro.bio/,San Francisco,,,Cell reprogramming,,BPG,1863
Revagenix,https://www.revagenix.com/,San Francisco,,,Antibiotics,,BPG,1868
Revel Pharmaceuticals,https://revelpharmaceuticals.com/,San Francisco,,,Therapeutic Enzymes,,BPG,1869
ReviR Therapeutics,https://revirtx.com/,Brisbane,,,Building a Scalable Platform addressing unmet therapeutic needs by Revising RNA with Small Molecules,,BPG,1871
Rezo Therapeutics,https://rezotx.com/,San Francisco,,,,,BPG,1873
Richard Sackler,https://collider.com/painkiller-vs-dopesick-matthew-broderick-michael-stuhlbarg/,,,,,"Richard Stephen Sackler (born March 10, 1945) is an American businessman and physician who was the chairman and president of Purdue Pharma, a former company best known as the developer of OxyContin...",Wikipedia,1878
Ridge Bio,https://ridgebio.com/,Palo Alto,,,Next-generation antibody conjugates,,BPG,1879
Rila Therapeutics,https://rilatx.com/,San Francisco,,,Renal fibrosis treatments,,BPG,1881
Rio Pharmaceuticals,https://riopharmaceuticals.com/,San Francisco,,,Neurological Disease Quantification,,BPG,1882
Roche,https://www.roche.com/,Pleasanton,,,Diagnostics,,BPG,1885
Rondo Therapeutics,https://www.rondotx.com/,Hayward,,,"Immuno-oncology platform for treating solid tumors, Bispecific Antibodies",,BPG,1887
RotaChrom Technologies,https://rotachrom.com/,Irvine,,,Centrifugal Partition Chromatography manufacturer and method developer,,BPG,1888
Rubedo Life Sciences,https://www.rubedolife.com/,Sunnyvale,,,Age-related drug discovery platform,,BPG,1892
RyboDyn,https://rybodyn.com/,San Diego,,,Proprietary RNA sequencing technology,,BPG,1896
Ryght,https://www.ryght.ai/,Laguna Beach,,,AI Platform for Biopharma,,BPG,1897
SIGA Technologies,https://www.siga.com/,,,,,"SIGA Technologies, Inc.",Wikipedia,1901
STA Pharmaceutical,https://sta.wuxiapptec.com/,San Diego,,,API manufacturing,,BPG,1905
SUGEN,http://www.businessweek.com/1998/38/b3596144.htm,,,,,SUGEN (Sugen) was a drug discovery company focused on development of protein kinase inhibitors.,Wikipedia,1907
Saccharo,https://www.saccharo.com/,Oakland,,,Cancer Therapies,,BPG,1909
Sage-N Research,https://www.sagenresearch.com/,Milpitas,,,AI & Mass Spec for Biomarker Discovery,,BPG,1910
Samay,https://www.samayhealth.com/home,Mountain View,,,AI-powered wearable diagnostic solutions for respiratory diseases,,BPG,1916
Sampling Human,https://www.samplinghuman.com/,Berkeley,,,Single cell biomarkers,,BPG,1917
SanDiegOmics,https://sandiegomics.com/,Del Mar,,,Sequencing Consultant,,BPG,1919
Sanguine Biosciences,https://sanguinebio.com/,San Diego,,,Biospecimen Collection,,BPG,1921
Sanovas,https://sanovas.com/new/site/index.html,San Rafael,,,Minimally-invasive surgical tools,,BPG,1922
Santen,https://www.santen.com/en,Emeryville,,,Ophthalmics,,BPG,1924
Sapu BioScience,https://sapubio.com/,San Diego,,,RNA & Small Molecule Immuno-oncology Therapies,,BPG,1926
Sayenza Biosciences,https://sayenza.com/,Irvine,,,Fat-derived Stem Cells,,BPG,1929
Scioderm,http://sderm.com,,,,,"Scioderm, acquired by Amicus Therapeutics in 2015, was a rare disease company focused on developing a treatment for Epidermolysis Bullosa (EB), a rare genetic disease characterized by extremely fra...",Wikipedia,1937
Seagen,https://www.seagen.com,,,,,Seagen Inc.,Wikipedia,1940
Segmed,https://www.segmed.ai/,Palo Alto,,,Cloud based platform for AI development,,BPG,1944
Selva Therapeutics,https://selvarx.com/,Del Mar,,,Antiviral,,BPG,1947
Senhwa Biosciences,https://www.senhwabio.com/en,San Diego,,,Small Molecules for oncology,,BPG,1949
Senju Pharmaceutical,https://www.senju.co.jp/english/,Torrance,,,Small Molecules,,BPG,1950
Sensydia,https://www.sensydia.com/,Los Angeles,,,Cardiac Function Measurement,,BPG,1951
Sention Therapeutics,https://www.sentiontx.com/,San Diego,,,Parathyroid Hormone Replacement for Hypothyroidism,,BPG,1955
Seonix Bio,https://seonixbio.com/,San Diego,,,Glaucoma Diagnosis,,BPG,1957
Seragon Biosciences,https://www.seragon.com/,Irvine,,,"Small Molecules, Gene Therapy",,BPG,1962
Seranova Bio,https://www.seranovabio.com/,South SF,,,Autoantibody Discovery,,BPG,1963
Serpex Medical,https://serpexmedical.mystrikingly.com/,Santa Clara,,,Bronchial Access Devices,,BPG,1964
Shape Memory Medical,https://www.shapemem.com/,San Jose,,,Devices using Shape Memory Polymer materials,,BPG,1965
Shasqi,https://www.shasqi.com/,San Francisco,,,Local Drug Activation,,BPG,1966
Shenandoah Therapeutics,https://shenandoah-tx.com/,South SF,,,Cancer Driver Therapies,,BPG,1968
Sidewinder Therapeutics,https://sidewinderbio.com/,San Diego,,,Large Molecule Precision Therapeutics,,BPG,1972
Sigyn Therapeutics,https://www.sigyntherapeutics.com/,San Diego,,,Blood Purification Technology,,BPG,1976
