Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
OncoBox,https://oncobox.com/,San Francisco,,,Oncology Therapy Selection,,BPG,1588
OncoTracker,https://oncotracker.com/,West Hollywood,,,Drug Discovery,,BPG,1589
Oncolytics Biotech,https://oncolyticsbiotech.com/,San Diego,,,Human Reovirus Delivery,,BPG,1590
Oncotelic Therapeutics,https://www.oncotelic.com/,Agoura Hills,,,transforming growth factor beta 2 inhibitor,,BPG,1591
Oncotherapeutics,https://oncotherapeutics.com/,West Hollywood,,,Contract preclinical study/clinical trial,,BPG,1592
Onecrea Medical,https://onecreamedical.com/,Irvine,,,Transcatheter aortic valve replacement system,,BPG,1593
OnsiteGene,https://www.onsitegene.com/,San Diego,,,5-minute PCR,,BPG,1594
Onyx Pharmaceuticals,http://www.onyx-pharm.com/,,,,,"Onyx Pharmaceuticals Inc. has been a biopharmaceutical company headquartered in South San Francisco, California. The company developed and marketed medicines for the treatment of cancer.",Wikipedia,1595
Opal Therapeutics,https://www.opaltherapeutics.com/,San Francisco,,,Uterine Organoids,,BPG,1596
OpenBench,https://www.opnbnch.com/,San Francisco,,,Small Molecule Screening,,BPG,1597
Ophirex,https://www.ophirex.com/,San Francisco,,,Snakebite treatment,,BPG,1598
Opna Bio,https://www.opnabio.com/,South SF,,,Novel oncology therapeutics,,BPG,1599
Optimum Therapeutics,https://optimumtx.com/,Carlsbad,,,Drug delivery technology,,BPG,1600
Optra Health,https://www.optrahealth.com/,San Jose,,,"Medical Devices and Lab Automation, Life Science Informatics, Knowledge Automation and Big Data solutions and services",,BPG,1601
OptraScan,https://www.optrascan.com/,San Jose,,,"Digital Slide Scanners, Software",,BPG,1602
Oqory,https://oqory.com/,San Diego,,,ADC,,BPG,1603
OraSure Technologies,http://www.orasure.com/,,,,,"OraSure Technologies, Inc. is a Bethlehem, Pennsylvania–based company in the medical device industry. Their products include diagnostic testing kits.",Wikipedia,1604
Orbits Oncology,https://www.orbits-oncology.com/,San Francisco,,,Digital Organoid Analysis Platform,,BPG,1605
Orbus Therapeutics,https://www.orbustherapeutics.com/,Palo Alto,,,Repurposing drug,,BPG,1606
Orca Bio,https://orcabio.com/,Menlo Park,,,Cell Therapy & Manufacturing,,BPG,1607
Orchid Orthopedic Solutions,https://www.orchid-ortho.com/,Santa Ana,,,Contract Medical Device Work,,BPG,1608
Orexigen Therapeutics,http://orexigen.com,,,,,"Orexigen Therapeutics, Inc. is a public American pharmaceutical company focused on development of treatments for obesity.",Wikipedia,1609
Organovo,https://organovo.com/,San Diego,,,Bioprinters,,BPG,1610
Origami Therapeutics,https://origamitherapeutics.com/,San Diego,,,Small Molecules for Genetic Diseases,,BPG,1611
Orlucent,https://www.orlucent.com/,Los Gatos,,,Mole evaluation device,,BPG,1612
Orphagen Pharmaceuticals,https://www.orphagen.com/,San Diego,,,Small molecule discovery,,BPG,1613
Orphina Biotechnology,https://www.orphina.com/,Calabasas,,,Gene therapies for preserving and prolonging muscle health,,BPG,1614
OrsoBio,https://orsobio.com/,Palo Alto,,,Mitochondrial protonophores,,BPG,1615
OrthAlign,https://www.orthalign.com/,Irvine,,,Inertial Navigation systems for joint replacement surgery,,BPG,1616
OrthoTrophix,https://www.orthotrophix.com/,Foster City,,,"Bone, cartilage and teeth therapies",,BPG,1617
Oryn Therapeutics,https://oryntherapeutics.com/,Redwood City,,,Macrocyclic peptide therapeutics,,BPG,1618
Osel,https://oselinc.com/,Mountain View,,,Live Organisms as Treatments,,BPG,1619
Oska Wellness,https://www.oskawellness.com/,Carlsbad,,,Pain Relief Device,,BPG,1620
Ossur,https://www.ossur.com/en-us,Irvine,,,Orthopedic Devices,,BPG,1621
Ostentus Therapeutics,https://ostentustherapeutics.com/,Newport Beach,,,Plant-derived cancer treatments,,BPG,1622
Ostial Corporation,https://ostialflash.com/,Campbell,,,Dual-balloon Stent,,BPG,1623
Otis Clapp & Son,https://mediqueproducts.com/Catalog/OtisClapp/valihist.html,,,,,"Otis Clapp & Son (today branded simply as ""Otis Clapp"") is an American pharmaceutical manufacturer which has been owned by Medique since 2008.",Wikipedia,1624
Ouro Medicines,https://www.ouromedicines.com/,San Francisco,,,Bispecific Antibody,,BPG,1625
Outset Medical,https://www.outsetmedical.com/,San Jose,,,Dialysis Device,,BPG,1626
Ovation Pharmaceuticals,http://www.ovationpharma.com/,,,,,"Ovation Pharmaceuticals is an American manufacturer and distributor of pharmaceuticals products. It was founded in 2000 by Jeffrey Aronin and is headquartered in Deerfield, Illinois.",Wikipedia,1627
Overture Orthopaedics,https://overtureortho.com/,Irvine,,,"Implants designed to relieve pain and dysfunction associated with articular cartilage lesions, osteochondral defects, and early osteoarthritis",,BPG,1628
Owl Drug,https://www.3ilaag.com,,,,,The Owl Drug Company was an American drugstore retailer with its headquarters in San Francisco that operated the Owl Drug Stores chain.,Wikipedia,1629
Oxford BioTherapeutics,https://www.oxfordbiotherapeutics.com/,San Jose,,,Antibody Therapies,,BPG,1630
PBS Biotech,https://www.pbsbiotech.com/,Camarillo,,,Single-Use Bioreactors,,BPG,1631
PCI Pharma Services,https://pci.com/,San Diego,,,"Contract Manufacturing, Services",,BPG,1632
PHD Biosciences,https://phdbiosciences.com/,La Jolla,,,Topical Dermatology Products,,BPG,1633
"PPD, Inc.",https://www.ppd.com,,,,,"Pharmaceutical Product Development (PPD) is a global contract research organization (CRO) providing comprehensive, integrated drug development, laboratory and lifecycle management services.",Wikipedia,1634
PRC Clinical,https://prcclinical.com/,South SF,,,"Clinical Trial Management and supporting all phases of clinical studies for pharmaceutical, biotech and regenerative medicine developers globally",,BPG,1635
PTM Therapeutics,https://www.ptmthera.com/,San Carlos,,,Monoclonal Antibodies,,BPG,1636
PUR Biologics,https://purbiologics.com/,Irvine,,,Orthobiologics,,BPG,1637
PURE Bioscience,https://www.purebio.com/,El Cajon,,,Antimicrobial,,BPG,1638
Pacific BioPharma Logistics,https://www.pacbiolog.com/,Poway,,,"Clinical packaging, clinical labeling and kitting",,BPG,1639
Pacific Biosciences,https://www.pacb.com/,Menlo Park,,,DNA sequencing,,BPG,1640
Pacific Science,https://pacificscience.com/,Torrance,,,"Cold Storage Equipment & Services - Cryogenic, Freezers, Refrigerators, Repairs/PM, Rentals, Storage",,BPG,1641
Pacira Biosciences,https://www.pacira.com/,San Diego,,,Drug Delivery,,BPG,1642
Palisade Bio,https://palisadebio.com/,Carlsbad,,,Small Molecules,,BPG,1643
Palm Therapeutics,https://www.palmtherapeutics.com/,San Diego,,,Palmitoylation-targeted therapeutics,,BPG,1644
Pandorum Technologies,https://pandorum.com/,San Carlos,,,Tissue Engineering,,BPG,1645
Pangea Laboratory,https://pangealab.com/,Tustin,,,Cancer Diagnostics,,BPG,1646
Papillon Therapeutics,https://www.papillon-tx.com/,San Diego,,,Gene Modified Stem Cells,,BPG,1647
Paracrine,https://paracrine.com/,San Diego,,,Regenerative Cell Therapy,,BPG,1648
Paragon Genomics,https://www.paragongenomics.com/,Fremont,,,Sequencing tools,,BPG,1649
Paramune,https://www.paramune.com/,San Carlos,,,Biologic therapies for inflammatory diseases and cancer,,BPG,1650
ParcelBio,https://www.parcelbio.com/,San Francisco,,,Next-generation mRNA medicines,,BPG,1651
Particella,https://particella.bio/,San Francisco,,,Ooral lipid nanoparticle technology to deliver nucleic acids to the intestinal epithelium,,BPG,1652
Partillion Bioscience,https://www.partillion.com/,Los Angeles,,,Functional Single-cell Biology Reagent Platform,,BPG,1653
Parvus Therapeutics,https://parvustx.com/,South SF,,,Peptide-MHC-coated nanoparticles,,BPG,1654
PathomIQ,https://pathomiq.com/,Cupertino,,,Cancer Phenotype Atlas,,BPG,1657
Pelage Pharmaceuticals,https://pelagepharma.com/,Los Angeles,,,Hair Follicle Stimulation,,BPG,1658
Peptide Systems,https://www.peptidesystems.com/,Folsom,,,Research Peptides,,BPG,1661
PercAssist,https://www.percassist-corp.com/,Santa Clara,,,PSCA System for Hemodynamic Support in Chronic Heart Failure,,BPG,1662
