Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
Ermaris Bio,https://ermarisbio.com/,Oakland,,,Treatments for Blindness,,BPG,858
Ernexa Therapeutics,https://www.ernexatx.com/,San Diego,,,mRNA Technology,,BPG,859
Esperto Medical,https://www.esperto.health/,Irvine,,,Sonic Blood Pressure Measurement,,BPG,862
Estrella Immunopharma,https://www.estrellabio.com/,Emeryville,,,Combining CD19-Redirected ARTEMIS T Cells with cancer-labeling technology,,BPG,863
Eugit Therapeutics,https://www.eugittx.com/,San Carlos,,,Tissue Targeting Therapies,,BPG,866
Eumentis Therapeutics,https://eumentistx.com/,Solana Beach,,,Novel therapeutics for the treatment of neuropsychiatric diseases,,BPG,867
Evercrisp Biosciences,https://evercrispbiosciences.com/,South SF,,,Miniproteins for receptor-mediated delivery of protein and oligonucleotide payloads,,BPG,869
Everest Detection,https://everestdetection.com/,San Francisco,,,Cancer Diagnosis,,BPG,870
Evident Vascular,https://evidentvascular.com/,San Jose,,,Intravascular Ultrasound,,BPG,872
Excellergy,https://excellergy.com/,Palo Alto,,,allergic Effector Cell Response Inhibitors,,BPG,879
ExcepGen,https://www.excepgen.com/,San Francisco,,,RNA Therapeutics Platform,,BPG,882
Expert Systems,https://www.expertsystems.inc/,San Diego,,,AI Drug Discovery,,BPG,889
Exploratory Science Center,https://www.merckbostonsymposium.com,,,,,"The Exploratory Science Center (ESC) is a pharmaceutical company based in Cambridge, MA.",Wikipedia,890
Eyconis,https://www.eyconis.com/,Redwood City,,,"Novel, best-in-class therapeutics for eye diseases",,BPG,892
FLAVORx,http://flavorx.com/,,,,,"FLAVORx is a private company based in Columbia, Maryland, United States that supplies sugar-free, hypoallergenic, and inert medicine flavorings and flavoring systems to pharmacies.",Wikipedia,897
Factorial Biotechnologies,https://factorial.bio/,San Carlos,,,Diagnostics,,BPG,900
Faeth Therapeutics,https://www.faeththerapeutics.com/,San Francisco,,,Nutrition Program to Enhance Cancer Therapy,,BPG,901
Fe Pharmaceuticals,https://www.fepharm.com/,Redwood City,,,Iron-binding Copolymer,,BPG,905
FemCap,https://femcap.com/,Del Mar,,,Cervix-Covering Birth Control Device,,BPG,906
FemDx Medsystems,https://www.femdxmed.com/,Santa Clara,,,Falloposcope,,BPG,907
Ferrum Health,https://ferrumhealth.com/,Sunnyvale,,,Radiology AI platform,,BPG,909
FibroGen,https://www.fibrogen.com/,San Francisco,,,"Biologics, Small Molecules",,BPG,911
Fist Assist Devices,https://fistassistdevices.com/,Los Altos,,,Vein Compression Device,,BPG,913
Flexion Therapeutics,http://www.flexiontherapeutics.com,,,,,"Flexion Therapeutics, Inc.",Wikipedia,914
Flightpath Biosciences,https://flightpath.bio/,Berkeley,,,Reformulations for Tick-borne Diseases,,BPG,915
Florica Therapeutics,https://floricatherapeutics.com/,Livermore,,,Exosome-based therapeutics to increase lifespan and deter neurological diseases of aging,,BPG,916
Forcyte Biotechnologies,https://forcytebio.com/,Los Angeles,,,Automated single-cell contractility screening,,BPG,920
Fortis Therapeutics,https://fortistx.com/,La Jolla,,,Antibody-drug Conjugate,,BPG,923
Fountain Therapeutics,https://www.fountaintx.com/,South SF,,,AI-based drug screening platform for age-related therapies,,BPG,925
Freedom Biosciences,https://www.freedombio.co/,Los Angeles,,,"Psychedelics, ketamine",,BPG,927
Frontier Medicines,https://frontiermeds.com/,South SF,,,Drug Discovery Using Chemoproteomics Platform,,BPG,931
Fujifilm Diosynth,https://fujifilmbiotechnologies.fujifilm.com/,Thousand Oaks,,,Biologics Development & Manufacturing,,BPG,932
Fujirebio Diagnostics,https://www.fujirebio.com/en,Sunnyvale,,,Biomarkers,,BPG,933
GABAeron,https://gabaeron.com/,San Francisco,,,"Stem-Cell Based Therapy for Alzheimer's, Small Molecules",,BPG,938
GIOSTAR,https://www.giostar.com/,San Diego,,,Stem Cell Therapies,,BPG,942
GT Apeiron,https://www.apeiron-bio.com/,Burlingame,,,AI Drug Development,,BPG,946
GT Biopharma,https://www.gtbiopharma.com/,San Francisco,,,"Antioxidant Therapeutics, Antibodies",,BPG,947
GTx Incorporated,http://www.gtxinc.com/,,,,,"GTx, Inc. was a pharmaceutical company working on drugs in the selective estrogen receptor modulator (SERM) and selective androgen receptor modulator (SARM) classes.",Wikipedia,948
Gaba Therapeutics,https://www.gabarx.com/,Newport Beach,,,Small Molecule,,BPG,949
Galena Biopharma,http://www.sellaslifesciences.com/,,,,,"Galena Biopharma, Inc. (originally RXi Pharmaceuticals) was a publicly traded pharmaceutical company based in San Ramon, California. The company was founded in Worcester, Massachusetts.",Wikipedia,950
Garner Biosolutions,https://www.garnerbio.com/,Hayward,,,Biospecimen Procurement,,BPG,954
GenCirq,https://www.gencirq.com/,San Diego,,,Engineered probiotic bacteria,,BPG,960
GenEndeavor,https://genendeavor.com/,Hayward,,,Diagnostics,,BPG,962
GenZum Life Sciences,https://genzum.com/,Los Angeles,,,Drug Development,,BPG,964
Genascence,https://genascence.com/,Palo Alto,,,Musculoskeletal Gene Therapies,,BPG,966
Genelux,https://genelux.com/,Westlake Village,,,Oncolytic Virus,,BPG,971
General Proximity,https://www.generalproximity.bio/,San Francisco,,,Induced-Proximity Medicines,,BPG,975
Generate:Biomedicines,https://spectrum.ieee.org/generate-biomedicines-emerges-from-stealth-mode-and-takes-aim-at-covid19,,,,,"Generate:Biomedicines is a biotechnology company founded in 2018 and headquartered in Cambridge, Massachusetts.",Wikipedia,976
