Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
10X Genomics,https://www.10xgenomics.com/,Pleasanton,,,Genomics Platform,,BPG,0
1Cell.Ai,https://1cell.ai/,Cupertino,,,Cancer Diagnostics,,BPG,1
1cBio,https://www.1cbio.com/,San Francisco,,,Small molecule to target hypophosphatasia,,BPG,2
3T Biosciences,https://3tbiosciences.com/,South SF,,,TCR Therapies,,BPG,3
4D Molecular Therapeutics,https://4dmoleculartherapeutics.com/,Emeryville,,,Gene Therapy,,BPG,4
64x Bio,https://64xbio.com/,San Francisco,,,High throughput discovery and design of enhanced cell lines for next-generation biomanufacturing and therapeutics,,BPG,5
858 Therapeutics,https://8five8tx.com/,San Diego,,,Precision Oncology,,BPG,6
89bio,https://89bio.com/,San Francisco,,,Liver Treatments,,BPG,7
92Bio,https://92biotech.com/,Hayward,,,Design of multispecific biologics for the treatment of cancer,,BPG,8
A2 Biotherapeutics,https://www.a2bio.com/,Agoura Hills,,,Immunotherapy,,BPG,9
A28 Therapeutics,https://a28therapeutics.com/,La Jolla,,,Targeted Lytic Peptides for the Treatment of Cancer,,BPG,10
AAA Biotech,https://www.aaabiotech.com/,La Jolla,,,"Antibodies, Proteins, ELISA kits",,BPG,11
AAT Bioquest,https://www.aatbio.com/,Pleasanton,,,Bioanalytical research reagents and kits; various contract research offerings,,BPG,12
ACI Medical,https://www.acimedical.com/,San Marcos,,,Arterial Assist Device,,BPG,13
ACON Laboratories,https://www.aconlabs.com/,San Diego,,,Diagnostics & Devices,,BPG,14
ACS Diagnostics,https://acsd4u.com/,Irvine,,,Cardiac Instrumentation,,BPG,15
ACT Biotech Inc,http://actbiotech.com/,,,,,"ACT Biotech Inc is a San Francisco-based, privately held biopharmaceutical company focused on the development and commercialization of targeted cancer drugs. It was founded in 2008.",Wikipedia,16
ADARx Pharmaceuticals,https://www.adarx.com/,San Diego,,,RNA Therapeutics,,BPG,17
ADAXION Therapeutics,https://adaxiontx.com/,San Diego,,,Deimmunized Biologics,,BPG,18
ADRx,https://www.adrxpharma.com/,Thousand Oaks,,,Amyloid Treatments,,BPG,19
ADS Biosystems,https://adsbiosystems.com/,San Diego,,,Cancer Diagnostics,,BPG,20
AEON Biopharma,https://aeonbiopharma.com/,Irvine,,,Therapeutic Botulinum Toxins,,BPG,21
AG Scientific,https://agscientific.com/?SID=af66d54e78ae8bfb89810fdeda0e7f81,San Diego,,,Biomarker Preservation & Stabilizing Reagents for In-vitro Diagnostic Development,,BPG,22
AIVITA Biomedical,http://aivitabiomedical.com/,Irvine,,,Stem Cell Therapy,,BPG,23
AKSO Biopharmaceutical,https://www.aksobio.com/,Los Angeles,,,Fusion Proteins,,BPG,24
ALLInBio,https://allinbio.com/,San Francisco,,,Precision Immunology,,BPG,25
ALX Oncology,https://alxoncology.com/,South SF,,,Immuno-oncology,,BPG,26
ALZpath,https://alzpath.bio/,Carlsbad,,,Alzheimer's Diagnostic,,BPG,27
AM Chemicals,https://www.amchemicals.com/,Vista,,,Solid supports and reagents for robust oligonucleotide synthesis,,BPG,28
AMAG Pharmaceuticals,http://www.amagpharma.com,,,,,"AMAG Pharmaceuticals, Inc. is an American pharmaceutical company developing products that treat iron deficiency anemia (IDA) in adult patients.",Wikipedia,29
AN2 Therapeutics,https://www.an2therapeutics.com/,Menlo Park,,,Novel medicines targeting infectious diseases,,BPG,30
APstem Therapeutics,https://apstemtx.com/,Fremont,,,Stem Cell Technology,,BPG,31
ARIZ Precision Medicine,https://arizbio.com/,Davis,,,Small Molecules,,BPG,32
ARNA Genomics,https://arna.bio/,Aliso Viejo,,,Breast Cancer Diagnostic System,,BPG,33
ARS Pharmaceuticals,https://ars-pharma.com/,San Diego,,,Nasal Spray Epinephrine,,BPG,34
ATUM,https://www.atum.bio/,Newark,,,"Gene Synthesis, Protein Expression and Engineering",,BPG,35
Aanastra,https://aanastra.com/,Los Angeles,,,RNA therapeutics,,BPG,36
Aardvark Therapeutics,https://aardvarktherapeutics.com/,San Diego,,,Obesity & Genetic Metabolic Disorders,,BPG,37
Aarvik Therapeutics,https://aarviktx.com/,Hayward,,,Antibody-Drug Conjugates,,BPG,38
Aayam Therapeutics,https://aayamtx.com/,San Jose,,,505(b)(2),,BPG,39
Ab Studio,https://www.antibodystudio.com/,Hayward,,,Antibody humanization and optimization service,,BPG,40
AbTherx,https://www.abtherx.com/,Mountain View,,,Therapeutic Antibody Discovery,,BPG,41
Abalone Bio,https://www.abalonebio.com/,Emeryville,,,Antibody Therapies,,BPG,42
AbbVie,https://www.abbvie.com/,Irvine,,,"Small Molecules, Biologics",,BPG,43
Abbiotec,https://www.abbiotec.com/,Escondido,,,Research Antibodies & Peptides,,BPG,44
AbboMax,https://www.abbomax.com/,San Jose,,,"Antibody, peptide, and assay product and service provider",,BPG,45
Abbott,https://www.abbott.com/,Alameda,,,Diabetes Care,,BPG,46
Abcam,https://www.abcam.com/en-us,Fremont,,,Antibodies,,BPG,47
Abcentra,https://abcentra.com/,Los Angeles,,,Monoclonal Antibodies,,BPG,48
Abcepta,https://www.abcepta.com/,San Diego,,,Biotechnology Antibodies,,BPG,49
Abeomics,https://www.abeomics.com/,San Diego,,,Contract Research,,BPG,50
