Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index,Google_Address,Google_Name,Google_Website,Confidence_Score,Latitude,Longitude
Dexcom,https://www.dexcom.com/en-us,San Diego,,,Glucose Monitors,,BPG,733,"6340 Sequence Dr, San Diego, CA 92121, USA",Dexcom,https://www.dexcom.com/,0.9999999999999999,32.9070685,-117.1859372
DiaCarta,https://www.diacarta.com/,Hayward,,,Molecular Diagnostics Tests,,BPG,736,"3535 Breakwater Ave, Hayward, CA 94545, USA",Diacarta,http://www.diacarta.com/,0.8999999999999999,37.6286771,-122.1221512
Diablo Clinical Research,https://diabloclinical.com/,Walnut Creek,,,Clinical Research,,BPG,737,"2255 Ygnacio Valley Rd # M, Walnut Creek, CA 94598, USA",Diablo Clinical Research Inc,https://diabloclinical.com/,0.9999999999999999,37.9221331,-122.0299076
Diagnostic BioSystems,https://dbiosys.com/,Pleasanton,,,"Immunohistochemistry, in-vitro Diagnostics",,BPG,740,"6616 Owens Dr, Pleasanton, CA 94588, USA",Diagnostic Biosystems,http://dbiosys.com/,0.9999999999999999,37.6970139,-121.9081519
Diality,https://www.diality.com/,Irvine,,,Hemodialysis System,,BPG,741,"181 Technology Dr #150, Irvine, CA 92618, USA",Diality Inc,http://www.diality.com/,0.9999999999999999,33.6656666,-117.7486517
Diazyme Laboratories,https://www.diazyme.com/,Poway,,,Diagnostic Reagents,,BPG,742,"12889 Gregg Ct, Poway, CA 92064, USA","Diazyme Laboratories, Inc.",http://www.diazyme.com/,0.9999999999999999,32.9374732,-117.04776
Discover Echo,https://discover-echo.com/,San Diego,,,Microscopy,,BPG,746,"9530 Padgett St, San Diego, CA 92126, USA",Discover Echo Inc.,http://www.discover-echo.com/,0.9999999999999999,32.8957202,-117.1286117
Dow Development Labs,https://www.dowdevelopmentlabs.com/,Petaluma,,,"Formulation Development, Clinical Manufacturing, Supplies",,BPG,748,"1031 N McDowell Blvd, Petaluma, CA 94954, USA",Dow Development Labs,https://dowdevelopmentlabs.com/,0.9999999999999999,38.2665649,-122.6583355
Dren Bio,https://www.drenbio.com/,Foster City,,,Protein Therapeutics,,BPG,749,"835 Industrial Rd Suite 400, San Carlos, CA 94070, USA",Dren Bio,https://www.drenbio.com/,0.9999999999999999,37.5071201,-122.250491
Durect,https://www.durect.com/,Cupertino,,,Drug Delivery,,BPG,751,"10240 Bubb Rd, Cupertino, CA 95014, USA",DURECT Corporation,http://www.durect.com/,0.9999999999999999,37.3194692,-122.0496909
DxTerity,https://dxterity.com/,Torrance,,,Genomic Testing,,BPG,752,"2441 W 205th St C100, Torrance, CA 90501, USA",DxTerity,https://www.dxterity.com/,0.9999999999999999,33.845986,-118.3268284
DyAnsys,https://www.dyansys.com/,San Mateo,,,Percutaneous electrical neurostimulation device,,BPG,753,"300 N Bayshore Blvd, San Mateo, CA 94401, USA",DyAnsys,https://www.dyansys.com/customer-support,0.9999999999999999,37.5786136,-122.3211856
Dynavax Technologies,https://www.dynavax.com/,Emeryville,,,"Synthetic oligonucleotides vaccines, adjuvants",,BPG,754,"2100 Powell St APT 720, Emeryville, CA 94608, USA",Dynavax Technologies Corporation,http://www.dynavax.com/,0.9999999999999999,37.8393639,-122.2989698
EAG Laboratories,https://www.eag.com/industry/pharmaceuticals/,El Segundo,,,Analytical & Synthesis Services,,BPG,756,"250 N Nash St, El Segundo, CA 90245, USA",EAG Laboratories,https://www.eag.com/,0.9999999999999999,33.9193368,-118.3872011
EBR Systems,https://www.ebrsystemsinc.com/,Sunnyvale,,,Wireless Cardiac Stimulation,,BPG,757,"480 Oakmead Pkwy, Sunnyvale, CA 94085, USA","EBR Systems, Inc.",http://www.ebrsystemsinc.com/,0.9999999999999999,37.3838375,-121.9879191
EV Therapeutics,https://www.evtherapeutics.com/,La Jolla,,,Extracellular Vesicle Delivery,,BPG,761,"9310 Athena Cir, La Jolla, CA 92037, USA",EV Therapeutics,http://evtherapeutics.com/,0.9999999999999999,32.8771619,-117.2210278
EXONBIO,https://exonbio.com/,Carlsbad,,,Monoclonal antibody discovery with single plasma cell interrogation (SPIN®) technology from immunized animals,,BPG,762,"5950 Priestly Dr STE 101, Carlsbad, CA 92008, USA",EXONBIO,http://www.exonbio.com/,0.9999999999999999,33.1339703,-117.2718828
Eargo,https://www.eargo.com/,San Jose,,,Hearing Aids,,BPG,763,"2665 N First St STE 300, San Jose, CA 95134, USA",Eargo,http://www.eargo.com/,0.9999999999999999,37.3876485,-121.9299026
Earli,https://www.earli.com/,Redwood City,,,Early cancer biomarker detection,,BPG,764,"1400 Bridge Pkwy Suite 201, Redwood City, CA 94065, USA",Earli Inc.,https://www.earli.com/,0.9999999999999999,37.5351161,-122.2582547
EchoPixel,https://echopixeltech.com/,San Jose,,,3D Surgical Imaging,,BPG,766,"780 Montague Expy Suite 305, San Jose, CA 95131, USA","EchoPixel, Inc.",http://www.echopixeltech.com/,0.9999999999999999,37.3962225,-121.9130055
Eclipse Bioinnovations,https://eclipsebio.com/,San Diego,,,RNA Products & Services,,BPG,767,"5770 Oberlin Dr, San Diego, CA 92121, USA",Eclipsebio,http://eclipsebio.com/,0.9563636363636364,32.8933842,-117.1945399
Edan Diagnostics,https://www.edandiagnostics.com/,San Diego,,,Diagnostic Instruments,,BPG,769,"9918 Via Pasar, San Diego, CA 92126, USA",Edan Diagnostics Inc,http://www.edandiagnostics.com/,0.9999999999999999,32.8997948,-117.1199191
Edge BioSystems,https://edgebio.com/en,San Jose,,,Sequencing Dyes,,BPG,770,"2032 Concourse Dr, San Jose, CA 95131, USA",Edge Bio Systems,http://www.edgebio.com/,0.995,39.1414521,-77.20878429999999
EditCo Bio,https://www.editco.bio/,Redwood City,,,"Cell Engineering Platform, guide RNAs and made-to-order edited cells",,BPG,771,"600 Saginaw Dr, Redwood City, CA 94063, USA",EditCo Bio,https://www.editco.bio/,0.9999999999999999,37.5029738,-122.2214234
Edwards Lifesciences,https://www.edwards.com/,Irvine,,,Medical Devices,,BPG,774,"1 Edwards Way, Irvine, CA 92614, USA",Edwards Lifesciences Corp.,http://www.edwards.com/,0.9999999999999999,33.6990926,-117.8509434
EicOsis,https://www.eicosis.com/,Davis,,,Inhibitors to a the soluble epoxide hydrolase,,BPG,776,"1930 5th St Suite A, Davis, CA 95616, USA",EicOsis,http://eicosis.com/,0.9999999999999999,38.5481045,-121.7280525
Eicos Sciences,https://www.eicossciences.com/,San Mateo,,,Prostacyclins,,BPG,777,"5425 Wisconsin Ave floor 6, Chevy Chase, MD 20815, USA",Eicos sciences,http://eicossciences.com/,0.7999999999999999,38.9623237,-77.08528009999999
Eigen Therapeutics,https://www.eigentx.com/,Redwood City,,,Cancer Priming Therapies,,BPG,779,"740 Broadway, Redwood City, CA 94063, USA",Eigen Therapeutics,https://www.eigentx.com/,0.9999999999999999,37.4865276,-122.2092342
Eikon Therapeutics,https://www.eikontx.com/,Millbrae,,,Single Particle Tracking,,BPG,780,"230 Harriet Tubman Way, Millbrae, CA 94030, USA",Eikon Therapeutics,https://www.eikontx.com/,0.9999999999999999,37.5992162,-122.3840923
Eko Devices,https://www.ekohealth.com/,Emeryville,,,Digital Stethoscope,,BPG,781,"2100 Powell St, Emeryville, CA 94608, USA",Eko,http://ekohealth.com/,0.932121212121212,37.8393639,-122.2989698
Ekso Bionics,https://eksobionics.com/,San Rafael,,,Exoskeleton,,BPG,782,"101 Glacier Point # A, San Rafael, CA 94901, USA",Ekso Bionics,http://www.eksobionics.com/,0.9999999999999999,37.9501962,-122.4897467
Eledon Pharmaceuticals,https://eledon.com/,Irvine,,,ENT Treatments,,BPG,785,"19800 MacArthur Blvd #250, Irvine, CA 92612, USA","Eledon Pharmaceuticals, Inc.",https://eledon.com/,0.9999999999999999,33.6548409,-117.8604919
Elegen,https://elegenbio.com/,San Carlos,,,DNA writing,,BPG,786,"3565 Haven Ave Suite 3, Menlo Park, CA 94025, USA",Elegen,,0.7999999999999999,37.4868238,-122.1869517
Element,https://www.element.com/life-sciences,Concord,,,"Global life sciences services. Benefit from CDMO, CRO, analytical, and central lab support.",,BPG,787,"2341 Stanwell Dr, Concord, CA 94520, USA",Element Concord,https://www.element.com/locations/the-americas/concord,0.9573333333333333,37.981934,-122.050052
Element Biosciences,https://www.elementbiosciences.com/,San Diego,,,"Genetic analysis tools, Sequencing Tools",,BPG,788,"10055 Barnes Canyon Rd Suite 100, San Diego, CA 92121, USA",Element Biosciences,https://www.elementbiosciences.com/,0.9999999999999999,32.8988933,-117.2001338
Element Science,https://elementscience.com/,San Francisco,,,Wearable device to prevent cardiac death,,BPG,789,"200 Kansas St Suite 210, San Francisco, CA 94103, USA",Element Science,https://elementscience.com/,0.9999999999999999,37.7667651,-122.4042173
Elevate Movement,https://www.elevatemovement.com/,Carlsbad,,,External Orthopedics Support Devices,,BPG,791,"5674 El Camino Real STE N, Carlsbad, CA 92008, USA",Elevate Movement,http://www.elevatemovement.com/,0.9999999999999999,33.1386784,-117.2736279
Elevation Spine,https://www.elevationspine.com/,Monterey,,,Spinal Fusion Device,,BPG,792,"2511 Garden Rd Suite B125, Monterey, CA 93940, USA",Elevation Spine,http://www.elevationspine.com/,0.9999999999999999,36.5866854,-121.8532366
Elim Biopharm,https://www.elimbio.com/,Hayward,,,Life Science Services,,BPG,795,"25495 Whitesell St, Hayward, CA 94545, USA",Elim Biopharmaceuticals Inc,https://www.elimbio.com/,0.9652173913043477,37.6298658,-122.1292346
Eliquent Life Sciences,https://eliquent.com/,San Francisco,,,Regulatory & Compliance Consulting,,BPG,797,"1055 Thomas Jefferson St NW, Washington, DC 20007, USA",ELIQUENT Life Sciences,https://eliquent.com/,0.7999999999999999,38.903769,-77.05964759999999
Elixir Medical,https://elixirmedical.com/,Milpitas,,,Stents,,BPG,798,"920 N McCarthy Blvd #100, Milpitas, CA 95035, USA",Elixir Medical Corporation,http://www.elixirmedical.com/,0.9999999999999999,37.4401151,-121.921296
Emboline,https://emboline.com/,Santa Cruz,,,Total Embolic Protection Catheter,,BPG,801,"2901 Mission St Building 2, Santa Cruz, CA 95060, USA",Emboline,http://emboline.com/,0.9999999999999999,36.9601016,-122.0585491
Embolx,https://embolx.com/,Sunnyvale,,,Microcatheters for arterial embolization procedures,,BPG,802,"530 Lakeside Dr #150, Sunnyvale, CA 94085, USA","Embolx, Inc.",http://www.embolx.com/,0.9999999999999999,37.3842579,-121.9926636
Emergent BioSolutions,https://www.emergentbiosolutions.com,,,,,"Emergent BioSolutions Inc. is an American multinational specialty biopharmaceutical company headquartered in Gaithersburg, Maryland.",Wikipedia,803,"555 Twin Dolphin Dr #360, Redwood City, CA 94065, USA",Emergent BioSolutions,https://www.emergentbiosolutions.com/,0.8999999999999999,37.5209764,-122.2557959
EmeritusDX,https://emeritusdx.com/,Lake Forest,,,Cancer Diagnostics,,BPG,804,"12 Spectrum Pointe Dr, Lake Forest, CA 92630, USA",EmeritusDX,http://www.emeritusdx.com/,0.9999999999999999,33.6609697,-117.6946347
