Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
NeilMed Pharmaceuticals,https://www.neilmed.com,,,,,"NeilMed Pharmaceuticals Inc. is a USA based pharmaceutical, medical devices' manufacturer & supplier company based in Santa Rosa, California.",Wikipedia,1466
Nektar Therapeutics,https://www.nektar.com/,San Francisco,,,"Small Molecules, Biologics",,BPG,1467
NeoGenomics,https://www.neogenomics.com/,Aliso Viejo,,,Genetic & Diagnostic Testing,,BPG,1468
Neodyne Biosciences,https://www.embracescartherapy.com/,Fremont,,,Scar Therapy,,BPG,1469
Neomorph,https://neomorph.com/index.html#home,San Diego,,,Molecular glue drug discovery,,BPG,1470
Neopeutics,http://www.neopeutics.com/,South SF,,,Drug discovery contract research,,BPG,1471
Neoteryx,https://www.neoteryx.com/,Torrance,,,Microsampling Device,,BPG,1472
Nephroceuticals,http://www.nephroceuticals.com/,,,,,"Nephroceuticals is a pharmaceutical company based out of Miamisburg, Ohio.",Wikipedia,1473
Nervonik,https://nervonik.com/,Los Angeles,,,Miniaturized neuromodulation device,,BPG,1474
NeuCyte,https://www.neucyte.com/,Mountain View,,,iPSC platform for drug discovery,,BPG,1475
NeuTherX,https://www.neutherx.com/,San Jose,,,Organoid Cultivation,,BPG,1476
NeurOptics,https://neuroptics.com/,Irvine,,,Pupillometry,,BPG,1477
NeuraSignal,https://neurasignal.com/,Los Angeles,,,Robotically Assisted Ultrasound System for Brain Health Assessment,,BPG,1478
NeuralInk,https://neuralink.com/,Fremont,,,Neural Implants,,BPG,1479
Neuralace Medical,https://neuralacemedical.com/,San Diego,,,Nerve Stimulation for Pain Management,,BPG,1480
Neurelis,https://www.neurelis.com/,San Diego,,,"License, develop, and commercialize product candidates",,BPG,1481
NeuroDigiTech,https://www.neurodigitech.com/home,Encinitas,,,"Kits, Solutions, some Services",,BPG,1482
NeuroInDx,https://ndx-instruments.com/,Torrance,,,Individual cell capture technology,,BPG,1483
NeuroLutions,https://www.neurolutions.com/,Van Nuys,,,Device for Stroke Recovery,,BPG,1484
NeuroPace,https://www.neuropace.com/,Mountain View,,,Implantable Neurological Treatments,,BPG,1485
NeuroQore,http://www.neuroqore.com/,Mountain View,,,Transcranial magnetic stimulation,,BPG,1486
NeuroSigma,https://www.neurosigma.com/,Los Angeles,,,Nerve stimulation technology,,BPG,1487
NeuroVision Imaging,https://www.neurovision.com/,Sacramento,,,Medical device for retinal autofluorescence,,BPG,1488
Neurocarrus,https://neurocarrus.com/,Monterey,,,Non-opioid pain relief,,BPG,1489
Neurocentria,https://www.neurocentria.com/,Walnut Creek,,,Small molecule for neurological disorders,,BPG,1490
Neurocrine Biosciences,https://www.neurocrine.com/,San Diego,,,Small Molecules,,BPG,1491
Neurolixis,http://neurolixis.com/home.html,,,,,Neurolixis is a biopharmaceutical company focused on novel drugs for the treatment of human central nervous system diseases. Neurolixis Inc. was founded in 2011 by Mark A.,Wikipedia,1492
Neuron23,https://neuron23.com/,South SF,,,AI-drug discovery,,BPG,1493
Neurona Therapeutics,https://www.neuronatherapeutics.com/,South SF,,,Neuronal stem-cell therapies,,BPG,1494
Neuropathix,http://www.neuropathix.com/,,,,,"Neuropathix, Inc. is a biopharmaceutical company based in Doylestown, Pennsylvania focused on the research and development of pain management and neuroprotective therapeutics.",Wikipedia,1495
Neuropore Therapies,https://www.neuropore.com/,San Diego,,,Small molecules for neurological conditions,,BPG,1496
Neuros Medical,https://www.neurosmedical.com/,Aliso Viejo,,,Neuromodulation Device,,BPG,1497
Neuroservices-Alliance,https://www.neuroservices-alliance.com/,San Diego,,,Translational Data Contract Work,,BPG,1498
Neuspera Medical,https://neuspera.com/,San Jose,,,Neurostimulation device,,BPG,1499
Neuvivo,https://www.neuvivo.com/,Palo Alto,,,ALS Therapies,,BPG,1500
Neuvogen,https://neuvogen.com/,San Diego,,,Whole-cell Cancer Vaccines,,BPG,1501
Nevro,https://www.nevro.com/,Redwood City,,,Stimulation device for back pain,,BPG,1502
New Biotic,https://www.newbiotic.com/,Irvine,,,Gut Bacteria-derived ALS Treatments,,BPG,1503
New England Compounding Center,http://www.neccrx.com/,,,,,"New England Compounding Center (NECC) is a compounding pharmacy founded in 1998, along with its sister companies Ameridose, Medical Sales Management Inc, and Alaunus Pharmaceutical LLC.",Wikipedia,1504
New World Medical,https://www.newworldmedical.com/,Rancho Cucamonga,,,Surgical Tools,,BPG,1505
NewGen Surgical,https://newgensurgical.com/,San Rafael,,,Medical devices & surgical products,,BPG,1506
NewLimit,https://www.newlimit.com/,South SF,,,Epigenetic Reprogramming Therapies,,BPG,1507
Newave Pharmaceutical,https://www.newavepharma.com/,Pleasanton,,,Small Molecules,,BPG,1508
Newomics,https://www.newomics.com/,Berkeley,,,Innovative and integrative platforms and solutions for personalized healthcare,,BPG,1509
Nexcella,https://nexcella.com/,Los Angeles,,,CAR T,,BPG,1510
NextGen Jane,https://www.nextgenjane.com/,Oakland,,,Menstrual Blood Diagnostics,,BPG,1511
NextVivo,https://nextvivo.bio/,Palo Alto,,,3D Tissue Organoids,,BPG,1512
Nexus-Dx,https://www.nexus-dx.com/,San Diego,,,POC Diagnostics,,BPG,1513
Niagen Bioscience,http://www.chromaDex.com,,,,,"Niagen Bioscience (NASDAQ: NAGE), formerly ChromaDex, is a bioscience сompany based in Los Angeles, California founded in 1999.",Wikipedia,1514
Nielsen BioSciences,https://nielsenbio.com/,San Diego,,,Diagnostics and Biologics,,BPG,1515
Nihon Kohden,https://www.nihonkohden.com/index.html,Irvine,,,Medical Electronic Equipment,,BPG,1516
Nine Square Therapeutics,https://ninesquaretx.com/,South SF,,,Small Molecules for Neuro,,BPG,1517
Nirmidas Biotech,https://nirmidas.com/,Mountain View,,,"Biological testing, assay and imaging technologies, based on a novel red to near IR fluorescence",,BPG,1518
Nitrase Therapeutics,https://nitrasetx.com/,Brisbane,,,Nitration enzyme,,BPG,1519
Nitto Avecia Pharma Services,https://www.aveciapharma.com/,Irvine,,,Pharma Development,,BPG,1520
Nitto BioPharma,https://nittobiopharma.com/,San Diego,,,Drug Delivery of siRNA,,BPG,1521
Nittobo America,https://www.nittobous.com/,Murrieta,,,Bulk antisera manufacturing,,BPG,1522
Nivagen,https://nivagen.com/,Sacramento,,,"Generics, 505(b)(2)",,BPG,1523
Nkarta Therapeutics,https://www.nkartatx.com/,South SF,,,Allogeneic cellular immunotherapy platform,,BPG,1524
Noah Medical,https://www.noahmed.com/,San Carlos,,,Surgical Imaging,,BPG,1525
Noctrix Health,https://noctrixhealth.com/,Pleasanton,,,Device for restless Leg,,BPG,1526
Nodexus,https://nodexus.com/,San Jose,,,"Platform to characterize, sort, and isolate single cells from biological samples",,BPG,1527
Noetik,https://www.noetik.ai/,South SF,,,AI Cancer Immunotherapy Discovery,,BPG,1528
Nonagen Bioscience,https://www.nonagen.com/,Los Angeles,,,Diagnostics,,BPG,1529
NorthStrive Biotherapeutics,https://www.northstrivebio.com/,Newport Beach,,,Next-gen Obesity Treatments,,BPG,1530
Northwest Biotherapeutics,http://www.nwbio.com/,,,,,"Northwest Biotherapeutics, Inc. is a development-stage American pharmaceutical company headquartered in Maryland that focuses on developing immunotherapies against different types of cancer.",Wikipedia,1531
