Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index,Google_Address,Google_Name,Google_Website,Confidence_Score,Latitude,Longitude
BP Logix Life Sciences,https://www.bplogix.com/life-sciences,Encinitas,,,Automation Software,,BPG,366,"410 S Melrose Dr, Vista, CA 92081, USA",BP Logix Workflow Software,http://www.bplogix.com/,0.9282717282717282,33.1905018,-117.2529473
BPS Bioscience,https://bpsbioscience.com/,San Diego,,,Enzymes for Drug Discovery,,BPG,367,"6405 Mira Mesa Blvd # 100, San Diego, CA 92121, USA",BPS Bioscience,http://www.bpsbioscience.com/,0.9999999999999999,32.9053765,-117.1802861
Bachem,https://www.bachem.com/,Torrance,,,"Contract Peptides, Oligos",,BPG,370,"3132 Kashiwa St, Torrance, CA 90505, USA","Bachem Americas, Inc.",http://www.bachem.com/,0.9520000000000001,33.8148406,-118.3399866
Baxter International,https://www.baxter.com,,,,,"Baxter International Inc. is an American multinational healthcare company with headquarters in Deerfield, Illinois.",Wikipedia,374,"21026 Alexander Ct, Hayward, CA 94545, USA",Baxter Healthcare,https://www.baxter.com/,0.940868778280543,37.651679,-122.1304161
Bayer BioPartnering Solutions,https://www.bayer.com/en/us/BioPartneringSolutions,Berkeley,,,Biomanufacturing - recombinant protein and cell therapy modalities,,BPG,375,"800 Dwight Way, Berkeley, CA 94710, USA",Bayer Corporation,http://pharma.bayer.com/,0.9337931034482759,37.8595707,-122.2955153
Baylx,https://www.baylxinc.com/,Irvine,,,Stem Cell Therapeutics,,BPG,376,"1 Technology Dr, Irvine, CA 92618, USA","Baylx, Inc.",http://www.baylxinc.com/,0.9999999999999999,33.6478936,-117.7350007
Bayside Biosciences,http://baysidebio.com/,Santa Clara,,,Contract Preclinical Services,,BPG,377,"2450 Scott Blvd, Santa Clara, CA 95050, USA",Bayside BioSciences Inc,http://baysidebio.com/,0.9999999999999999,37.3669495,-121.9601403
BeOne Medicines,http://www.beigene.com/,,,,,"BeOne Medicines, formerly known as BeiGene, Ltd. is a multinational oncology company. It specializes in the development of drugs for cancer treatment.",Wikipedia,379,"835 Industrial Rd, San Carlos, CA 94070, USA",BeiGene,https://www.beigene.com/contact-us/,0.8463492063492063,37.5067474,-122.2506431
Beam Therapeutics,https://www.beamtx.com,,,,,"Beam Therapeutics Inc. is an American biotechnology company conducting research in the field of gene therapies and genome editing. The company is headquartered in Cambridge, Massachusetts.",Wikipedia,380,"238 Main St, Cambridge, MA 02142, USA",Beam Therapeutics,https://beamtx.com/,0.7999999999999999,42.3621273,-71.0846052
Behavioral Pharma,https://www.behavioralpharma.com/,La Jolla,,,Preclinical Lab Services,,BPG,382,"505 Coast S Blvd, La Jolla, CA 92037, USA",Behavioral Pharma,,0.7999999999999999,32.84324000000001,-117.2794604
Belharra Therapeutics,https://belharratx.com/,San Diego,,,"Small molecule drugs in oncology, immuno-oncology, autoimmune and neurodegenerative diseases",,BPG,384,"3985 Sorrento Valley Blvd suite c, San Diego, CA 92121, USA","Belharra Therapeutics, Inc.",http://belharratx.com/,0.9999999999999999,32.9028953,-117.2196929
Belite Bio,https://belitebio.com/#home,San Diego,,,Oral Small Molecules,,BPG,385,"12750 High Bluff Dr, San Diego, CA 92130, USA",Belite Bio,https://belitebio.com/,0.9999999999999999,32.9500232,-117.241202
Beloteca,http://beloteca.com/index.html,San Diego,,,Generics & 505(b)(2) drugs,,BPG,386,"9920 Pacific Heights Blvd Suite 250, San Diego, CA 92121, USA","Beloteca, Inc.",http://www.beloteca.com/,0.9999999999999999,32.900656,-117.1912209
Benchling,https://www.benchling.com/,San Francisco,,,Biotech Software,,BPG,387,"680 Folsom St floor 10, San Francisco, CA 94107, USA",Benchling,https://benchling.com/,0.9999999999999999,37.7844511,-122.398453
Benitec Biopharma,https://www.benitec.com/,Hayward,,,DdRNAi,,BPG,388,"3940 Trust Way, Hayward, CA 94545, USA",Benitec Biopharma,https://www.benitec.com/,0.9999999999999999,37.6232978,-122.1248592
Beta Bionics,https://www.betabionics.com/,Irvine,,,Artificial Pancreas,,BPG,391,"11 Hughes, Irvine, CA 92618, USA",Beta Bionics,https://www.betabionics.com/,0.9999999999999999,33.6523168,-117.7189187
Bexson Biomedical,https://www.bexsonbiomedical.com/,Santa Barbara,,,Subcutaneous Drug Delivery,,BPG,392,"369 Paso Robles Dr, Santa Barbara, CA 93108, USA","Bexson Biomedical, Inc",,0.7999999999999999,34.4424993,-119.6638453
