Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
Agendia,https://agendia.com/,Irvine,,,Breast Cancer Assay,,BPG,122
AgileBio,https://agilebio.com/,San Diego,,,IT Life Science Solutions,,BPG,123
Agilent,https://www.agilent.com/,Santa Clara,,,"High-Throughput Screening Equipment, Imaging instruments",,BPG,124
Agios Pharmaceuticals,http://agios.com,,,,,Agios Pharmaceuticals Inc.,Wikipedia,125
AiViva BioPharma,https://aiviva.com/,Irvine,,,JEL delivery technology,,BPG,126
Aikium,https://www.aikium.com/,Berkeley,,,AI Drug Discovery,,BPG,127
Ainnocence,https://ainnocence.com/,Mountain View,,,Self-evolving AI platform for drug discovery,,BPG,128
Ainos,https://www.ainos.com/,San Diego,,,Point-of-Care Diagnostics,,BPG,129
Aivo Biosciences,https://www.aivo.bio/,San Diego,,,Small Molecule CNS Therapeutics,,BPG,130
AivoCode,https://www.aivocode.com/,San Diego,,,Homing Peptides,,BPG,131
Aizen Therapeutics,https://www.aizentx.com/,San Diego,,,Mirror Peptides,,BPG,132
Aizon,https://www.aizon.ai/,San Francisco,,,AI for Pharma Manufacturing,,BPG,133
Ajinomoto Bio-Pharma Services,https://www.ajibio-pharma.com/,San Diego,,,Contract Manufacturing,,BPG,134
Akero Therapeutics,https://akerotx.com/,South SF,,,NASH therapy,,BPG,135
AkrivisBio,https://www.akrivisbio.com/,San Jose,,,"Assays, Chemicals",,BPG,136
Akura Medical,https://www.akuramedical.com/,Los Gatos,,,Thrombectomy Device,,BPG,137
Aladdin Scientific,https://www.aladdinsci.com/,Riverside,,,"Proteins, Chemicals, Antibodies",,BPG,138
Alamar Biosciences,https://alamarbio.com/,Fremont,,,Proteomic Liquid Biopsy Platform,,BPG,139
Alcon,https://www.alcon.com/,Irvine,,,Eye-Care Products,,BPG,140
Alector,https://alector.com/,South SF,,,Alzheimer's Antibody Treatments,,BPG,141
Alessa Therapeutics,https://alessatherapeutics.com/,San Carlos,,,Local delivery of anti-androgen therapy,,BPG,142
Alexander Shulgin Research Institute,https://shulginresearch.net/,,,,,"Alexander Shulgin Research Institute (ASRI) is an organization developing novel psychedelic and entactogen drugs as potential pharmaceuticals, among other activities.",Wikipedia,143
Alexion Pharmaceuticals,https://www.alexion.com,,,,,"Alexion Pharmaceuticals, Inc., a subsidiary of AstraZeneca, is a pharmaceutical company headquartered in Boston, Massachusetts that specializes in orphan drugs to treat rare diseases.",Wikipedia,144
Alfa Scientific Designs,https://www.alfascientific.com/,Poway,,,Rapid POC Diagnostics,,BPG,145
Algen Biotechnologies,https://www.algenbio.com/,San Francisco,,,Gene Network Drug Discovery Services,,BPG,146
Alida Biosciences,https://www.alidabio.com/,San Diego,,,Epigenetic analysis tools,,BPG,147
Alife,https://www.alifehealth.com/,San Francisco,,,AI-powered IVF,,BPG,148
Aligos Therapeutics,https://aligos.com/,South SF,,,Therapies for hepatologic diseases and viral infections,,BPG,149
Alimentiv,https://alimentiv.com/,San Diego,,,Clinical Services,,BPG,150
Alimera Sciences,https://isni.org/isni/0000000460132283,,,,,"Alimera Sciences, Inc. was a biopharmaceutical sales company based in Alpharetta, Georgia that specialized in the commercialization and sales of prescription ophthalmic pharmaceuticals.",Wikipedia,151
AlivaMab Biologics,https://alivamab.com/,San Diego,,,Antibody Discovery Services,,BPG,152
AliveCor,https://kardia.com/,Mountain View,,,Heart Monitor with App,,BPG,153
AliveGen,https://www.alivegen.com/,Thousand Oaks,,,Ligand Trap,,BPG,154
Alixia,https://www.alixia.com/,San Francisco,,,Tumor Therapies,,BPG,155
Alkahest,https://www.alkahest.com/,San Carlos,,,Aging therapy using blood components,,BPG,156
AllCells,https://allcells.com/,Alameda,,,"Cytokines, Stem Cells, Media, etc.",,BPG,157
Allay Therapeutics,https://www.allaytx.com/,San Jose,,,Multi-week Localized Pain Management,,BPG,158
Allele Biotechnology,https://allelebiotech.com/,San Diego,,,Molecular Biology Products & Services,,BPG,159
Allelica,https://allelica.com/,San Francisco,,,Polygenic Panels,,BPG,160
Allez Health,https://www.allezhealth.com/,Carlsbad,,,Biosensors,,BPG,161
Allogene Therapeutics,https://allogene.com/,South SF,,,CAR-T,,BPG,162
Allucent,https://www.allucent.com/,San Diego,,,Clinical Research Solutions partnering with small & mid-sized biotechs to deliver novel therapies to patients with unmet needs.,,BPG,163
Allvivo Vascular,https://allvivo.com/,Lake Forest,,,Medical device coating,,BPG,164
Alnylam Pharmaceuticals,https://www.alnylam.com,,,,,"Alnylam Pharmaceuticals, Inc.",Wikipedia,165
Alpha Medical Instruments,http://www.alphamedicalinstruments.com,Mission Viejo,,,Cardiac Balloon Catheter,,BPG,166
Alphalyse,https://alphalyse.com/,Palo Alto,,,Protein Characterization Services,,BPG,167
Alstem,https://www.alstembio.com/web/,Richmond,,,"IPS Generation, Cell Lines, Cytokines, Proteins, etc.",,BPG,168
Alta Biomed,https://www.altabiomed.com/,Carlsbad,,,Medical Device Coatings,,BPG,169
Altagenics,https://altagenics.com/,Los Angeles,,,GigaAssay-derived therapies,,BPG,170
Altaviz,https://www.altaviz.com/,Irvine,,,"Injector Drug Delivery, Implant Delivery Systems",,BPG,171
Altay Therapeutics,https://www.altaytherapeutics.com/,San Carlos,,,Small molecules for liver disease and cancer,,BPG,172
AlterG,https://alterg.com/,Fremont,,,Anti-gravity treadmill,,BPG,173
Alterome Therapeutics,https://www.alterome.com/,San Diego,,,Oncology Treatments,,BPG,174
Alto Neuroscience,https://altoneuroscience.com/,Mountain View,,,AI-derived brain biomarkers for therapeutic matching,,BPG,175
Altos Labs,https://www.altoslabs.com/,Redwood City,,,Cellular Rejuvenation,,BPG,176
AltruBio,https://www.altrubio.com/altrubio/en,San Francisco,,,Antibody Therapeutics,,BPG,177
Altus Life Science,https://altuslifescience.com/,San Jose,,,Diagnostics & Genetic Tests,,BPG,178
Aluda Pharmaceuticals,https://aludapharm.com/,Menlo Park,,,Small Molecules,,BPG,179
Alume Biosciences,https://alumebiosciences.com/,San Diego,,,Nerve Illumination Technology,,BPG,180
Alumis,https://www.alumis.com/,South SF,,,Autoimmune Treatments,,BPG,181
Aluna,https://alunacare.com/,San Francisco,,,Asthma Tracking Device,,BPG,182
Alveo Technologies,https://www.alveotechnologies.com/,Alameda,,,Diagnostic Devices,,BPG,183
Alzheon,http://www.alzheon.com,,,,,"Alzheon is an American clinical-stage biopharmaceutical company based in Framingham, Massachusetts.",Wikipedia,184
AmMax Bio,https://www.ammaxbio.com,Redwood City,,,Anti-CSF1 Monoclonal Antibody,,BPG,185
Amador Bioscience,https://www.amadorbioscience.com/,Pleasanton,,,"Consulting, Lab Service, Clinical Trial Management",,BPG,186
Amaros,https://amaros.ai/,Menlo Park,,,Ophthalmology Data Platform,,BPG,187
Amber Bio,https://www.amber.bio/,San Francisco,,,Gene Editing Platform,,BPG,188
Amber Ophthalmics,https://www.amberophthalmics.com/,San Diego,,,Novel therapeutics for rare anterior segment ophthalmic diseases,,BPG,189
Amberstone Biosciences,https://amberstonebio.com/,Irvine,,,Solid Tumor Therapies,,BPG,190
Ambrx,https://ambrx.com/,La Jolla,,,PEGylation,,BPG,191
Ambry Genetics,https://www.ambrygen.com/,Aliso Viejo,,,Genetic Testing,,BPG,192
