Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index,Google_Address,Google_Name,Google_Website,Confidence_Score,Latitude,Longitude
10X Genomics,https://www.10xgenomics.com/,Pleasanton,,,Genomics Platform,,BPG,0,"6230 Stoneridge Mall Rd, Pleasanton, CA 94588, USA",10x Genomics Headquarters,https://10xgenomics.com/,0.9584,37.6943023,-121.9212663
1Cell.Ai,https://1cell.ai/,Cupertino,,,Cancer Diagnostics,,BPG,1,"320 Hatch Dr, Foster City, CA 94404, USA",1Cell.ai,https://1cell.ai/,0.9999999999999999,37.567417,-122.2747414
3T Biosciences,https://3tbiosciences.com/,South SF,,,TCR Therapies,,BPG,3,"230 E Grand Ave. a, South San Francisco, CA 94080, USA",3T Biosciences,http://3tbiosciences.com/,0.9999999999999999,37.6536246,-122.3976712
4D Molecular Therapeutics,https://4dmoleculartherapeutics.com/,Emeryville,,,Gene Therapy,,BPG,4,"5858 Horton St #455, Emeryville, CA 94608, USA",4D Molecular Therapeutics,http://www.4dmoleculartherapeutics.com/,0.9999999999999999,37.8401509,-122.2906863
89bio,https://89bio.com/,San Francisco,,,Liver Treatments,,BPG,7,"655 Montgomery St 15th Floor, San Francisco, CA 94111, USA","89 Bio, Inc.",https://www.89bio.com/,0.936,37.7952699,-122.4035731
AAT Bioquest,https://www.aatbio.com/,Pleasanton,,,Bioanalytical research reagents and kits; various contract research offerings,,BPG,12,"5775 W Las Positas Blvd, Pleasanton, CA 94588, USA","AAT Bioquest, Inc.",http://www.aatbio.com/,0.9999999999999999,37.6859291,-121.8927876
ACI Medical,https://www.acimedical.com/,San Marcos,,,Arterial Assist Device,,BPG,13,"1857 Diamond St # A, San Marcos, CA 92078, USA","ACI Medical, LLC",http://acimedical.com/,0.9999999999999999,33.1044269,-117.2171986
ACON Laboratories,https://www.aconlabs.com/,San Diego,,,Diagnostics & Devices,,BPG,14,"9440 Carroll Park Dr, San Diego, CA 92121, USA",ACON Laboratories Inc,http://aconlabs.com/,0.9999999999999999,32.88729,-117.1729834
ACS Diagnostics,https://acsd4u.com/,Irvine,,,Cardiac Instrumentation,,BPG,15,"25651 Atlantic Ocean Ste. A15, Lake Forest, 926301 Hughes, Irvine, CA 92618, USA","ACS Diagnostics, Inc.",https://acsd4u.com/,0.9999999999999999,33.6668249,-117.6829927
ACT Biotech Inc,http://actbiotech.com/,,,,,"ACT Biotech Inc is a San Francisco-based, privately held biopharmaceutical company focused on the development and commercialization of targeted cancer drugs. It was founded in 2008.",Wikipedia,16,"717 Market St, San Francisco, CA 94103, USA",Act Biotech,http://www.actbiotech.com/,0.9999999999999999,37.7868614,-122.4036958
ADARx Pharmaceuticals,https://www.adarx.com/,San Diego,,,RNA Therapeutics,,BPG,17,"5871 Oberlin Dr Suite 200, San Diego, CA 92121, USA","ADARx Pharmaceuticals, Inc.",https://www.adarx.com/,0.9999999999999999,32.89509960000001,-117.1921234
ADRx,https://www.adrxpharma.com/,Thousand Oaks,,,Amyloid Treatments,,BPG,19,"515 Marin St, Thousand Oaks, CA 91360, USA","ADRx, Inc.",http://adrxpharma.com/,0.9999999999999999,34.1843556,-118.8817294
ADS Biosystems,https://adsbiosystems.com/,San Diego,,,Cancer Diagnostics,,BPG,20,"5820 Oberlin Dr STE 104, San Diego, CA 92121, USA",Ads Biosystems inc.,,0.7999999999999999,32.893965,-117.1940942
AEON Biopharma,https://aeonbiopharma.com/,Irvine,,,Therapeutic Botulinum Toxins,,BPG,21,"5 Park Plaza, Irvine, CA 92614, USA",AEON Biopharma,https://aeonbiopharma.com/contact-aeon-biopharma/,0.9999999999999999,33.6765029,-117.837379
AG Scientific,https://agscientific.com/?SID=af66d54e78ae8bfb89810fdeda0e7f81,San Diego,,,Biomarker Preservation & Stabilizing Reagents for In-vitro Diagnostic Development,,BPG,22,"9950 Scripps Lake Dr #104, San Diego, CA 92131, USA",AG Scientific,https://www.agscientific.com/,0.9999999999999999,32.9118499,-117.1112899
AIVITA Biomedical,http://aivitabiomedical.com/,Irvine,,,Stem Cell Therapy,,BPG,23,"18301 Von Karman Ave #130, Irvine, CA 92612, USA","AIVITA Biomedical, Inc.",http://www.aivitabiomedical.com/,0.9999999999999999,33.6777078,-117.8544951
ALX Oncology,https://alxoncology.com/,South SF,,,Immuno-oncology,,BPG,26,"323 Allerton Ave, South San Francisco, CA 94080, USA",ALX Oncology,http://www.alxoncology.com/,0.9999999999999999,37.6526319,-122.3921701
AM Chemicals,https://www.amchemicals.com/,Vista,,,Solid supports and reagents for robust oligonucleotide synthesis,,BPG,28,"1060 Joshua Way, Vista, CA 92081, USA",AM Chemicals LLC,https://www.amchemicals.com/,0.9999999999999999,33.148398,-117.229994
AN2 Therapeutics,https://www.an2therapeutics.com/,Menlo Park,,,Novel medicines targeting infectious diseases,,BPG,30,"1300 El Camino Real Suite 100, Menlo Park, CA 94025, USA",AN2 Therapeutics,http://www.an2therapeutics.com/,0.9999999999999999,37.4557547,-122.1854195
APstem Therapeutics,https://apstemtx.com/,Fremont,,,Stem Cell Technology,,BPG,31,"48371 Fremont Blvd #103, Fremont, CA 94538, USA","APstem Therapeutics, Inc.",https://www.apstemtx.com/,0.9999999999999999,37.4666249,-121.9346006
ATUM,https://www.atum.bio/,Newark,,,"Gene Synthesis, Protein Expression and Engineering",,BPG,35,"37950 Central Ct, Newark, CA 94560, USA",ATUM,https://www.atum.bio/,0.9999999999999999,37.52061080000001,-122.0384445
Aardvark Therapeutics,https://aardvarktherapeutics.com/,San Diego,,,Obesity & Genetic Metabolic Disorders,,BPG,37,"4370 La Jolla Village Dr Suite 1050, San Diego, CA 92122, USA","Aardvark Therapeutics, Inc",http://aardvarktherapeutics.com/,0.9999999999999999,32.8740097,-117.2111392
Aarvik Therapeutics,https://aarviktx.com/,Hayward,,,Antibody-Drug Conjugates,,BPG,38,"Hayward, CA 94544, USA",AARVIK THERAPEUTICS,,0.7999999999999999,37.6067209,-122.0521248
Ab Studio,https://www.antibodystudio.com/,Hayward,,,Antibody humanization and optimization service,,BPG,40,"3541 Investment Blvd Suite 3, Hayward, CA 94545, USA",Ab Studio Inc,https://www.antibodystudio.com/,0.9999999999999999,37.6251376,-122.120878
AbTherx,https://www.abtherx.com/,Mountain View,,,Therapeutic Antibody Discovery,,BPG,41,"319 N Bernardo Ave, Mountain View, CA 94043, USA",AbTherx,http://abtherx.com/,0.9999999999999999,37.3873687,-122.0488103
Abalone Bio,https://www.abalonebio.com/,Emeryville,,,Antibody Therapies,,BPG,42,"1250 45th St Suite 520, Emeryville, CA 94608, USA","Abalone Bio, Inc",http://www.abalonebio.com/,0.9999999999999999,37.8336542,-122.2848017
Abbiotec,https://www.abbiotec.com/,Escondido,,,Research Antibodies & Peptides,,BPG,44,"938 S Andreasen Dr Suite I, Escondido, CA 92029, USA","Abbiotec, Inc.",https://abbiotec.com/,0.9999999999999999,33.113311,-117.1142081
AbboMax,https://www.abbomax.com/,San Jose,,,"Antibody, peptide, and assay product and service provider",,BPG,45,"2528 Qume Dr STE 8, San Jose, CA 95131, USA",Abbomax Inc,http://www.abbomax.com/,0.9999999999999999,37.400379,-121.888225
Abbott,https://www.abbott.com/,Alameda,,,Diabetes Care,,BPG,46,"2321 N Loop Rd, Alameda, CA 94502, USA",Abbott main office,https://www.abbott.com/,0.9466666666666667,37.730565,-122.2469759
Abcam,https://www.abcam.com/en-us,Fremont,,,Antibodies,,BPG,47,"860 Auburn Ct, Fremont, CA 94538, USA",Abcam,https://www.abcam.com/,0.9999999999999999,37.4811923,-121.9298533
Abcentra,https://abcentra.com/,Los Angeles,,,Monoclonal Antibodies,,BPG,48,"1925 Century Park E #1700, Los Angeles, CA 90067, USA",Abcentra,https://www.abcentra.com/,0.9999999999999999,34.0606064,-118.4144916
Abeomics,https://www.abeomics.com/,San Diego,,,Contract Research,,BPG,50,"9853 Pacific Heights Blvd Ste. D, San Diego, CA 92121, USA","Abeomics, Inc.",http://abeomics.com/,0.9999999999999999,32.8993645,-117.1878792
Abilita Therapeutics,https://abilitatx.com/,San Diego,,,Method for creating GPCR-targeting antibodies,,BPG,51,"5785 Oberlin Dr, San Diego, CA 92121, USA",Abilita Therapeutics,http://www.abilitatx.com/,0.9999999999999999,32.8929647,-117.1935375
Abiocode,http://www.abiocode.com/,Agoura Hills,,,Research Antibodies,,BPG,52,"29397 Agoura Rd, Agoura Hills, CA 91301, USA",Abiocode,http://www.abiocode.com/,0.9999999999999999,34.144534,-118.765643
Abiosciences,https://www.abiosciences.com/,South SF,,,"Single cell sequencing, bioinformatics, AI-aided molecular design",,BPG,53,"280 Utah Ave, South San Francisco, CA 94080, USA","Abiosciences, Inc",https://abiosciences.com/,0.9999999999999999,37.6464465,-122.3948255
