Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
Cirtec Medical,https://www.cirtecmed.com/,Los Gatos,,,Contract Medical Devices,,BPG,610
Cisterna Biologics,https://www.cisternabx.com/,Carlsbad,,,RNA Production,,BPG,611
Civica Rx,http://www.civicarx.org,,,,,Civica Rx is a nonprofit generic drug company founded in 2018 by leading U.S.,Wikipedia,612
Clara Health,https://www.clarahealth.com/,San Diego,,,Clinical Trial Patient Recruitment & Retention Platform,,BPG,613
Clarity Genomics,https://www.clarity-genomics.com/,San Diego,,,Genomic Analysis,,BPG,614
Clear Labs,https://www.clearlabs.com/,San Carlos,,,Automated Next-Generation Sequencing Platforms for Pathogen Detection and Genomic Surveillance,,BPG,615
ClearFlow,https://clearflow.com/,Irvine,,,Blood drainage device,,BPG,616
ClearNote Health,https://www.clearnotehealth.com/,San Mateo,,,Liquid Biopsy,,BPG,617
ClearPath Surgical,https://www.clearpathsurgical.com/,Orange,,,Surgical Devices,,BPG,618
ClearPoint Neuro,https://www.clearpointneuro.com/,Carlsbad,,,"Minimally invasive surgical procedures in the brain and heart under direct, intra-procedural MRI guidance",,BPG,619
Cleo Life Sciences,https://www.cleolifesciences.com/,South SF,,,"CMC Consulting, Contract Research",,BPG,620
Climax Laboratories,https://www.climaxlabs.com/,San Jose,,,Bio-analytical services,,BPG,621
ClinDatrix,https://clindatrix.com/,Irvine,,,Clinical Research,,BPG,622
Cliniqa,https://www.cliniqa.com/,San Marcos,,,"Lab Research Products, Biomaterials",,BPG,623
Clinuvel Pharmaceuticals,https://www.clinuvel.com/,Burlingame,,,Small Molecules,,BPG,624
CloudCath,https://www.cloudcath.com/,San Francisco,,,Remote Catheter Monitoring Platform,,BPG,625
Cloudbreak Pharmaceutical,https://cloudbreakpharma.com/,Irvine,,,Pterygium Treatment,,BPG,626
Clovis Oncology,http://clovisoncology.com/products-companion-diagnostics,,,,,"Clovis Oncology is an American pharmaceutical company which mainly markets products for treatment in oncology. Clovis was founded in 2009 and is headquartered in Boulder, Colorado.",Wikipedia,627
CoA Therapeutics,https://coatherapeutics.com/,San Francisco,,,Drugs targeting Coenzyme-A,,BPG,628
CoaguSense,https://coag-sense.com/,Fremont,,,Coagulation monitor,,BPG,629
Coagulant Therapeutics,https://www.coagulanttherapeutics.com/,Berkeley,,,RFVIIa analogue,,BPG,630
Coastar Therapeutics,https://coastartherapeutics.com/,San Diego,,,Cell Membrane Coating Technology,,BPG,631
Codexis,https://www.codexis.com/,Redwood City,,,Enzymatic Manufacturing of siRNA Therapeutics,,BPG,632
Cognixion,https://www.cognixion.com/,Santa Barbara,,,Brain-Computer Interface,,BPG,633
Cognos Therapeutics,https://cognosthx.com/,Los Angeles,,,Implantable device for the metronomic delivery of therapeutics for neuropathic disease mitigation,,BPG,634
Cognuse Neuroscience,http://www.cognuse.com/,San Diego,,,Software Systems,,BPG,635
Coherence Neuro,https://coherenceneuro.com/,San Francisco,,,Cancer Therapy Wearable,,BPG,636
Coherus Oncology,https://www.coherus.com/,Redwood City,,,"Biologics, Biosimilars",,BPG,637
Collaborative Clinical Research Consulting,https://ccrc-inc.com/,Carlsbad,,,Clinical Consulting,,BPG,638
Collaborative Drug Discovery,https://www.collaborativedrug.com/,Burlingame,,,Biological & Chemical Database,,BPG,639
Color,https://www.color.com/,Burlingame,,,"Genetic testing, direct to consumer",,BPG,640
Combe Incorporated,http://www.combe.com/,,,,,"Combe Incorporated, based in White Plains, New York, is an American personal-care company founded in 1949 by Ivan Combe. Combe products are sold in 64 countries on six continents.",Wikipedia,641
Compact Cath,https://www.compactcath.com/,Redwood City,,,Catheter,,BPG,642
Comparative Biosciences,https://www.compbio.com/,Sunnyvale,,,"GLP and non-GLP preclinical toxicology, efficacy, pharmacology, histopathology, and safety studies on all laboratory species.",,BPG,643
Complete Genomics,https://www.completegenomics.com/,San Jose,,,Genomic Studies,,BPG,644
Compugen,https://cgen.com/,San Francisco,,,Biologics,,BPG,645
ConKay Medical Systems,https://www.conkaymedical.com/,Pleasanton,,,Advancing solutions to treat valvular regurgitation in patients with progressive heart failure,,BPG,646
Concentric Analgesics,https://www.concentricanalgesics.com/,San Francisco,,,Drug discovery & development,,BPG,647
Conception,https://conception.bio/,Berkeley,,,Conversion of cells into eggs,,BPG,648
Concuir Consulting,https://concuir.com/,Laguna Hills,,,"Management Consulting - Program and project management, project strategy and delivery, change management, quality, remediation consulting.",,BPG,649
Confidence Pharmaceutical Research,https://confidenceresearch.com/,Burlingame,,,Clinical Research,,BPG,650
Confluent Medical Technologies,https://confluentmedical.com/,Fremont,,,"Contract Medical Devices, Nitinol, Catheters, Textiles",,BPG,651
ConfometRx,https://www.confometrx.com/,Santa Clara,,,Structure-based drug development tools,,BPG,652
