Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
AiViva BioPharma,https://aiviva.com/,Irvine,,,JEL delivery technology,,BPG,126
Aikium,https://www.aikium.com/,Berkeley,,,AI Drug Discovery,,BPG,127
Ainnocence,https://ainnocence.com/,Mountain View,,,Self-evolving AI platform for drug discovery,,BPG,128
Ainos,https://www.ainos.com/,San Diego,,,Point-of-Care Diagnostics,,BPG,129
Aivo Biosciences,https://www.aivo.bio/,San Diego,,,Small Molecule CNS Therapeutics,,BPG,130
AivoCode,https://www.aivocode.com/,San Diego,,,Homing Peptides,,BPG,131
Aizen Therapeutics,https://www.aizentx.com/,San Diego,,,Mirror Peptides,,BPG,132
Aizon,https://www.aizon.ai/,San Francisco,,,AI for Pharma Manufacturing,,BPG,133
Ajinomoto Bio-Pharma Services,https://www.ajibio-pharma.com/,San Diego,,,Contract Manufacturing,,BPG,134
Akura Medical,https://www.akuramedical.com/,Los Gatos,,,Thrombectomy Device,,BPG,137
Alessa Therapeutics,https://alessatherapeutics.com/,San Carlos,,,Local delivery of anti-androgen therapy,,BPG,142
Alexander Shulgin Research Institute,https://shulginresearch.net/,,,,,"Alexander Shulgin Research Institute (ASRI) is an organization developing novel psychedelic and entactogen drugs as potential pharmaceuticals, among other activities.",Wikipedia,143
Algen Biotechnologies,https://www.algenbio.com/,San Francisco,,,Gene Network Drug Discovery Services,,BPG,146
Alife,https://www.alifehealth.com/,San Francisco,,,AI-powered IVF,,BPG,148
Alimera Sciences,https://isni.org/isni/0000000460132283,,,,,"Alimera Sciences, Inc. was a biopharmaceutical sales company based in Alpharetta, Georgia that specialized in the commercialization and sales of prescription ophthalmic pharmaceuticals.",Wikipedia,151
AliveCor,https://kardia.com/,Mountain View,,,Heart Monitor with App,,BPG,153
Alixia,https://www.alixia.com/,San Francisco,,,Tumor Therapies,,BPG,155
Allelica,https://allelica.com/,San Francisco,,,Polygenic Panels,,BPG,160
Allez Health,https://www.allezhealth.com/,Carlsbad,,,Biosensors,,BPG,161
Alnylam Pharmaceuticals,https://www.alnylam.com,,,,,"Alnylam Pharmaceuticals, Inc.",Wikipedia,165
Altagenics,https://altagenics.com/,Los Angeles,,,GigaAssay-derived therapies,,BPG,170
Altay Therapeutics,https://www.altaytherapeutics.com/,San Carlos,,,Small molecules for liver disease and cancer,,BPG,172
Alterome Therapeutics,https://www.alterome.com/,San Diego,,,Oncology Treatments,,BPG,174
Alume Biosciences,https://alumebiosciences.com/,San Diego,,,Nerve Illumination Technology,,BPG,180
Aluna,https://alunacare.com/,San Francisco,,,Asthma Tracking Device,,BPG,182
AmMax Bio,https://www.ammaxbio.com,Redwood City,,,Anti-CSF1 Monoclonal Antibody,,BPG,185
Amaros,https://amaros.ai/,Menlo Park,,,Ophthalmology Data Platform,,BPG,187
Amber Bio,https://www.amber.bio/,San Francisco,,,Gene Editing Platform,,BPG,188
Amber Ophthalmics,https://www.amberophthalmics.com/,San Diego,,,Novel therapeutics for rare anterior segment ophthalmic diseases,,BPG,189
Ameridose,http://www.ameridose.com/,,,,,"Ameridose, LLC. is a medical manufacturer based in Westborough, Massachusetts.",Wikipedia,193
AmplifiDx,https://www.amplifidx.com/,Newark,,,Molecular Diagnostics POC,,BPG,197
Amplifica,https://amplificabio.com/,San Diego,,,Hair Loss Therapies,,BPG,198
Amplo Biotechnology,https://www.amplobiotechnology.com/,San Diego,,,Treatment for congenital myasthenic syndromes,,BPG,199
Amydis Diagnostics,https://amydis.com/,La Jolla,,,Alzheimer's diagnostic,,BPG,202
Amygdala Neurosciences,https://amygns.com/,Los Altos,,,Addiction Therapies,,BPG,203
Ananya Health,https://www.ananya.health/,Oakland,,,Cryoablation of Cervical Cancer,,BPG,206
Ancora Bio,https://ancorabiotech.com/,Palo Alto,,,Multi-specific Antibodies,,BPG,210
Aneuvo,https://aneuvo.com/,Los Angeles,,,Neuromodulation Devices,,BPG,213
Angarus Therapeutics,https://www.angarustx.com/,South SF,,,Oncology Treatments Overcoming Immunosuppression,,BPG,214
Angeles Therapeutics,https://angelestherapeutics.com/,Los Angeles,,,"CAR T, NK Platform",,BPG,215
Angitia Biopharmaceuticals,https://www.angitiabio.com/,Woodland Hills,,,Bispecific Antibody,,BPG,218
Ankasa Regenerative Therapeutics,https://ankasaregenerativetherapeutics.com/,La Jolla,,,Proprietary formulations of WNT stem cell activators fur surgical application,,BPG,220
Antares Therapeutics,https://antaresrx.com/,South SF,,,Small Molecule Technologies,,BPG,224
Anthera Pharmaceuticals,http://www.anthera.com,,,,,"Anthera Pharmaceuticals, Inc.",Wikipedia,227
Antiva Biosciences,https://antivabio.com/,Redwood City,,,Antiviral therapy,,BPG,232
Anviron,https://www.anviron.com/,Newport Beach,,,Cancer Therapies,,BPG,233
Apollo Biologics,https://www.apollobiologics.com/,Los Angeles,,,Biologics Consulting,,BPG,238
Apollomics,https://www.apollomicsinc.com/,Foster City,,,Cancer medicines,,BPG,239
Applied Cognition,https://appliedcognition.com/,Redwood City,,,Compounds Targeting Glymphatic System,,BPG,243
