Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
Genesis Therapeutics,https://genesis.ml/,Burlingame,,,AI Drug Discovery,,BPG,979
GenexGen,https://www.genexgen.com/,San Francisco,,,Restoring Immune Balance,,BPG,980
Genoox,https://www.genoox.com/,Palo Alto,,,Genetic Data Analysis,,BPG,983
Gentech Pharmaceutical,https://www.reviews.io/company-reviews/store/steroids-uk.com,,,,,"Gentech Pharmaceutical is a company that develops and markets branded dietary supplements. ABC News identified the company as one that manufactures ""Adderall knockoffs"".",Wikipedia,984
GigaMune,https://www.gigamune.com/,San Francisco,,,Cell Therapies for Solid Tumors,,BPG,987
Gilgamesh Pharmaceuticals,https://www.gilgameshpharmaceutical.com/,,,,,Gilgamesh Pharmaceuticals is a pharmaceutical company that is developing psychedelic and related drugs as medicines.,Wikipedia,990
Ginolis,https://ginolis.com/,San Diego,,,"Nanoliter precision dispensing & automation, Laboratory to Point of Care Diagnostics Manufacture",,BPG,991
Girihlet,https://girihlet.com/,Oakland,,,Diagnostic Technology using TCR Sequencing,,BPG,992
GlycoMinds,https://www.glycominds.com/,Simi Valley,,,Diagnostics,,BPG,995
Glycyx,https://www.glycyx.com/,San Francisco,,,Opioid negation in in cancer immunotherapy,,BPG,997
Grann Pharmaceuticals,https://www.grannpharma.com/,San Marcos,,,Nucleic Acid Therapies,,BPG,1004
Gravitas Medical,https://www.gravitasmedinc.com/,San Francisco,,,Feeding Tube Monitor,,BPG,1005
Gynesonics,https://gynesonics.com/us/,Redwood City,,,Uterine fibroids ablation,,BPG,1011
HOPO Therapeutics,https://www.hopotx.com/,Emeryville,,,Heavy Metal Poisoning Prevention,,BPG,1015
HUGENX,https://www.hugenx.com/,Irvine,,,Lab Management Software,,BPG,1018
Halo Biosciences,https://halobiosciences.com/,Palo Alto,,,Small Molecules,,BPG,1020
Harrow Health,http://harrowinc.com,,,,,"Harrow Health, Inc., formerly known as Imprimis Pharmaceuticals, is a publicly traded pharmaceutical company based in Nashville, Tennessee.",Wikipedia,1025
Hawkeye Bio,https://www.hawkeyebio.com/,Torrance,,,Lung Cancer Diagnosis,,BPG,1026
HealthBio AI,https://www.healthbioai.com/,Hayward,,,Molecular Diagnostics,,BPG,1027
HeartBeam,https://www.heartbeam.com/,Santa Clara,,,Heart Attack Detector,,BPG,1028
Helicore Biopharma,https://www.helicore.com/,San Mateo,,,"Obesity Therapies, Monoclonal Antibody",,BPG,1030
Help Remedies,http://www.businessweek.com/articles/2012-03-22/help-remediess-hip-pharma,,,,,"Help Remedies, Inc.",Wikipedia,1033
HepaTx,https://hepatx.com/,Palo Alto,,,Stem-Cell Based Liver Therapies,,BPG,1034
Hikari Medical Technologies,https://www.hikarimedical.com/,Santa Barbara,,,Non-invasive Drug Dosing Solution,,BPG,1037
Hinge Therapeutics,https://hingethera.com/,Sunnyvale,,,AI Small Molecule Drug Discovery,,BPG,1040
Holoclara,https://holoclara.com/,Los Angeles,,,Orally-available Therapies Derived From Worms,,BPG,1042
Hospira,https://www.pfizerhospitalus.com,,,,,"Hospira was an American global pharmaceutical and medical device company with headquarters in Lake Forest, Illinois. It had approximately 19,000 employees.",Wikipedia,1047
Humanity Neurotech,https://www.humanityneurotech.com/,San Francisco,,,Brain devices,,BPG,1049
HypO2Regen,https://ho2rx.com/,Berkeley,,,Regenerative Therapies,,BPG,1051
I Peace,https://ipeace.com/en/,Palo Alto,,,"iPSC Cell Banking, Research Products, Cell Manufacturing",,BPG,1052
IHP Therapeutics,https://www.ihptherapeutics.com/,San Carlos,,,Drug Development for Urgent Medical Needs,,BPG,1056
IMIDomics,https://www.imidomics.com/,San Rafael,,,Treatments for immune-mediated inflammatory diseases; Biobank platform,,BPG,1057
INOMIXO,https://www.inomixo.com/,San Jose,,,Nano-LC Columns,,BPG,1058
IPS HEART,https://ipsheart.com/,San Diego,,,Induced pluripotent stem cell cardiac therapy,,BPG,1059
IQVIA,https://www.iqvia.com/,San Diego,,,Clinical Research,,BPG,1060
ISTA Pharmaceuticals,http://www.istavision.com,,,,,"ISTA Pharmaceuticals, Inc., was a US-based pharmaceutical company that specialized in ophthalmic pharmaceutical products and discovers, develops, and markets therapies for inflammation, ocular pain...",Wikipedia,1062
Idience,https://www.idience.com/,San Francisco,,,Cancer Therapies,,BPG,1066
Imagene,https://imagenebio.com/,San Diego,,,Biologics,,BPG,1071
Immix Biopharma,https://immixbio.com/,Los Angeles,,,Small Molecules,,BPG,1072
Immune Inc.,https://www.beimmune.com/,Carlsbad,,,"Pharm, Device, Biotech Consulting",,BPG,1073
ImmuneBridge,https://www.immunebridge.com/,San Francisco,,,Allogeneic immunotherapies for cancer,,BPG,1075
ImmunoMind,https://immunomind.com/,Berkeley,,,AI-powered platform for ultra-fast discovery of biomarkers,,BPG,1080
ImmunoVec,https://immunovec.com/,Los Angeles,,,Gene Therapy for Hematopoietic Diseases,,BPG,1081
ImmunoVision,https://immunovision.com/,El Cajon,,,Autoimmune Reagents,,BPG,1082
Impilo Therapeutics,https://impilotherapeutics.com/,San Diego,,,ASOs,,BPG,1085
Imvaria,https://imvaria.com/,Berkeley,,,Digital Biomarker Platform,,BPG,1087
Inapill,https://www.inapill.com/,Berkeley,,,Small Molecules,,BPG,1091
