Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
Brinter,https://brinter.com/,Santa Monica,,,"3D bioprinted bio-synthetic implants for soft tissue and cartilage repair, including meniscus and tendon",,BPG,488
Broadwing Bio,https://broadwing.bio/,South SF,,,Antibody based drugs for blindness,,BPG,491
Bullseye Biosciences,https://www.bullseyebio.com/,San Francisco,,,Vascularized Organs,,BPG,493
Butterfly Network,https://www.butterflynetwork.com/,Palo Alto,,,Subscription Ultrasound Device,,BPG,495
C.Light Technologies,https://www.clighttechnologies.com/,Santa Clara,,,Retinal Tracking for Disease Monitoring,,BPG,496
CB Therapeutics,https://www.cbthera.com/,Carlsbad,,,Synthesis of Cannabinoids from Sugar,,BPG,498
CBCC Global Research,https://www.cbcc.global/,Bakersfield,,,Clinical Services,,BPG,499
CDR3 Therapeutics,https://cdr3therapeutics.com/,El Segundo,,,Stem Cell Therapy,,BPG,500
CERo Therapeutics,https://www.cero.bio/,South SF,,,Cellular Immunotherapy,,BPG,501
CMR Naviscan,https://cmr-naviscan.com/,Carlsbad,,,Medical imaging technology,,BPG,505
CPTx,https://cptx.bio/,South SF,,,Gene-encoding single-stranded DNA,,BPG,507
CSL Behring,http://www.cslbehring.com/,,,,,"CSL Behring is a biopharmaceutical company, manufacturing plasma-derived and recombinant therapeutic products.",Wikipedia,510
Cairn Biosciences,https://www.cairnbio.com/,San Francisco,,,Live cell assays,,BPG,518
Candid Therapeutics,https://www.candidrx.com/,San Diego,,,Antibodies for Autoimmune Diseases,,BPG,530
Cannabis Science,https://imcannabis.com/,,,,,"Cannabis Science, Inc. is a biotech company based in Irvine, California.",Wikipedia,531
Canon Medical Systems,https://us.medical.canon/,Tustin,,,Medical imaging tech company,,BPG,532
Capacity Bio,https://www.capacitybio.com/,Los Angeles,,,Mitophagy,,BPG,534
Capienda Biotech,https://capienda.us/,Carlsbad,,,Novel Technology for Drug Discovery,,BPG,535
Capstan Medical,https://capstanmedical.com/,Santa Cruz,,,Heart Valve Replacement,,BPG,538
Carbiotix,https://carbiotix.com/,Palo Alto,,,Gut Microbiota Testing,,BPG,540
CardioDiagnostics,https://www.cardiodiagnostics.net/,Campbell,,,Cardiac Monitoring Services & Devices,,BPG,542
Cassava Sciences,https://www.cassavasciences.com/,,,,,"Cassava Sciences is an American pharmaceutical company based in Austin, Texas.",Wikipedia,549
Catalyst Pharmaceuticals,http://www.catalystpharma.com/,,,,,"Catalyst Pharmaceuticals, Inc. is a biopharmaceutical company based in Coral Gables, Florida, United States.",Wikipedia,550
Catena Biosciences,https://catenabio.com/,Berkeley,,,Next-gen Protein Coupling,,BPG,551
CathWorks,https://cath.works/,Newport Beach,,,Catheter Guidance,,BPG,552
Celestial Therapeutics,https://www.celestialtherapeutics.com/,San Diego,,,Therapeutics based on innate immunity,,BPG,555
CellXLife,https://cellxlife.com/,Los Angeles,,,Cell Therapy,,BPG,562
CellarisBio,https://cellarisbio.com/,San Diego,,,Micro-Tag cell target engagement platform,,BPG,566
Celldom,https://www.celldom.com/,San Diego,,,Single-Cell Biology Platform,,BPG,568
Cellentia,https://www.cellentiabio.com/,Mountain View,,,Custom Bioassays,,BPG,570
Cellgen Diagnostics,https://cellgendx.com/,San Diego,,,Diagnostics,,BPG,571
Cellsonics,https://cellsonics.com/,San Jose,,,Single Cell Sample Prep,,BPG,574
Cellular Vehicles,https://www.cellularvehicles.com/,San Mateo,,,Process automation platform for cell and gene therapies,,BPG,577
Cencora,https://www.cencora.com,,,,,"Cencora, Inc., formerly known as AmerisourceBergen, is an American drug wholesale and distribution company and a contract research organization, that was formed by the merger of Bergen Brunswig and...",Wikipedia,581
Centivax,https://www.centivax.com/,South SF,,,"Antiinfectives, Antivenoms",,BPG,583
Centricity Vision,https://zeptozone.com/,Carlsbad,,,Cataract Surgery Device,,BPG,584
Cepheid,https://www.cepheid.com/en-US.html,Sunnyvale,,,Molecular Diagnostics,,BPG,586
Ceragenix Pharmaceuticals,http://www.highbeam.com/doc/1P1-143172912.html,,,,,"Ceragenix Pharmaceuticals, Inc.",Wikipedia,587
Cessation Therapeutics,https://cessationtherapeutics.com/,San Diego,,,Antibody Therapies for Overdose Reversal,,BPG,593
Chai Discovery,https://www.chaidiscovery.com/,San Francisco,,,AI Antibody Discovery,,BPG,594
Chantibody,https://chantibody.com/home,Menlo Park,,,Antibody discovery platform,,BPG,597
Character Biosciences,https://www.characterbio.com/,Brisbane,,,Clinical genomic and deep phenotyping platform,,BPG,598
Chimera Bioengineering,https://www.chimera.bio/,South SF,,,CAR-T therapies,,BPG,602
Chrysalis Biomedical Advisors,https://chrysalisbiomed.com/,Redwood City,,,Boutique strategy consulting firm,,BPG,604
CinderBio,https://www.cinderbio.com/,San Leandro,,,Proteases for proteomics analyses,,BPG,606
