Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
LTZ Therapeutics,https://www.ltztherapeutics.com/,Redwood City,,,Immunotherapies,,BPG,1222
LabyRx Immuno-Oncology,https://labyrx.com/,Sacramento,,,Monoclonal Antibody,,BPG,1223
Laguna Biotherapeutics,https://www.lagunabio.com/,San Francisco,,,Microbe to Activate Immune Cells,,BPG,1225
Lassen Therapeutics,https://lassentherapeutics.com/,San Diego,,,Anti-IL-11 Antibodies,,BPG,1227
Lassogen,https://www.lassogen.com/,San Diego,,,Lasso peptide-based therapies,,BPG,1228
Latent Labs,https://www.latentlabs.com/,San Francisco,,,AI models to design and optimize proteins,,BPG,1230
LatentSpace Therapeutics,https://latentspacetherapeutics.com/,La Jolla,,,AI Drug Discovery,,BPG,1231
Latigo Biotherapeutics,https://latigobio.com/,Thousand Oaks,,,Non-opioid Pain Relief,,BPG,1232
Laza Medical,https://lazamedical.com/,Campbell,,,AI-Powered Robotically-Assisted Imaging,,BPG,1234
Leaf Healthcare,https://www.sn-leaf.com/,Pleasanton,,,"Wireless, wearable Patient Sensor",,BPG,1236
Leapfrog Bio,https://www.leapfrog.bio/,San Mateo,,,Small Molecule Drug Screening,,BPG,1237
Leiner Health Products,http://www.findarticles.com/p/articles/mi_m5072/is_10_25/ai_99125165,,,,,"Leiner Health Products was a company based in Carson, California, and was one of America's largest manufacturers of vitamins, minerals, herbal nutritional supplements, and generic medications.",Wikipedia,1239
Leucadia Therapeutics,https://www.leucadiatx.com/,Riverside,,,Medical device for Alzheimer's,,BPG,1240
Libra Therapeutics,https://www.libratherapeutics.com/,San Diego,,,Small Molecules for Neurodegenerative Indications,,BPG,1247
LifeActive Bio,https://lifeactivebio.com/,San Francisco,,,Biomaterials for Drug Delivery,,BPG,1248
LifeSpan Biosciences,https://www.lsbio.com/,Newark,,,Immuno histochemistry Products and Services,,BPG,1250
Liferna Biotech,https://liferna-biotech.com/,San Diego,,,Treatments for Autoimmune and Fibrotic Diseases,,BPG,1253
Ligand Pharmaceuticals,http://ligand.com,,,,,Ligand Pharmaceuticals is an American biopharmaceutical company that focuses on acquiring and developing royalty-generating assets.,Wikipedia,1254
Lighthouse Pharmaceuticals,https://www.lighthousepharma.com/,San Francisco,,,Small molecule protease inhibitors,,BPG,1256
Lineage Cell Therapeutics,https://lineagecell.com/,Carlsbad,,,Regenerative Medicine,,BPG,1260
Lipidio Pharmaceuticals,https://lipidiopharma.com/,San Diego,,,Drugs to treat diseases associated with excess body fat,,BPG,1263
