Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
Genervon,http://www.genervon.com/genervon/about.php,,,,,"Genervon Biopharmaceuticals is a pharmaceutical company based in Pasadena, CA, focused on creating drugs for diseases of the central human nervous system.",Wikipedia,977
Genervon Biopharmaceuticals,https://www.genervon.com/,Pasadena,,,Synthetic Peptide,,BPG,978
Genesis Therapeutics,https://genesis.ml/,Burlingame,,,AI Drug Discovery,,BPG,979
GenexGen,https://www.genexgen.com/,San Francisco,,,Restoring Immune Balance,,BPG,980
Genomatica,https://www.genomatica.com/,San Diego,,,Biologically Produced Chemicals,,BPG,981
Genomic Testing Cooperative,https://genomictestingcooperative.com/,Lake Forest,,,Diagnostics,,BPG,982
Genoox,https://www.genoox.com/,Palo Alto,,,Genetic Data Analysis,,BPG,983
Gentech Pharmaceutical,https://www.reviews.io/company-reviews/store/steroids-uk.com,,,,,"Gentech Pharmaceutical is a company that develops and markets branded dietary supplements. ABC News identified the company as one that manufactures ""Adderall knockoffs"".",Wikipedia,984
Geron,https://www.geron.com/,Foster City,,,Small Molecule,,BPG,985
GigaGen,https://www.gigagen.com/,San Carlos,,,Immune therapeutics,,BPG,986
GigaMune,https://www.gigamune.com/,San Francisco,,,Cell Therapies for Solid Tumors,,BPG,987
Gilead,https://www.gilead.com/,Foster City,,,Small Molecules,,BPG,988
Gilero,https://www.gilero.com/,Carlsbad,,,"Medical device design & development, drug delivery systems design & development",,BPG,989
Gilgamesh Pharmaceuticals,https://www.gilgameshpharmaceutical.com/,,,,,Gilgamesh Pharmaceuticals is a pharmaceutical company that is developing psychedelic and related drugs as medicines.,Wikipedia,990
Ginolis,https://ginolis.com/,San Diego,,,"Nanoliter precision dispensing & automation, Laboratory to Point of Care Diagnostics Manufacture",,BPG,991
Girihlet,https://girihlet.com/,Oakland,,,Diagnostic Technology using TCR Sequencing,,BPG,992
Global Cancer Technology,https://globalcancertechnology.com/,San Diego,,,Small molecule PI3K inhibitor,,BPG,993
Glooko,https://glooko.com/,Palo Alto,,,Glucose monitoring App,,BPG,994
GlycoMinds,https://www.glycominds.com/,Simi Valley,,,Diagnostics,,BPG,995
Glycomine,https://www.glycomine.com/,San Carlos,,,Glycosylation corrective therapy,,BPG,996
Glycyx,https://www.glycyx.com/,San Francisco,,,Opioid negation in in cancer immunotherapy,,BPG,997
Golden West Biologicals,https://goldenwest.bio/pages/biologicals,Temecula,,,IVD Supplies,,BPG,998
GondolaBio,https://gondolabio.com/,Palo Alto,,,Therapeutics for Genetic Diseases,,BPG,999
Gordian Biotechnology,https://www.gordian.bio/,San Francisco,,,Drug Screening Platform,,BPG,1000
Gossamer Bio,https://www.gossamerbio.com/,San Diego,,,Small Molecules,,BPG,1001
Grace Science,https://www.gracescience.com/,Menlo Park,,,"Therapies based on the function of NGLY1, AAV gene therapy, small molecules",,BPG,1002
Grand River Aseptic Manufacturing,https://www.grandriverasepticmfg.com/about/,,,,,"Grand River Aseptic Manufacturing (GRAM) is a private contract development and manufacturing organization (CDMO) based in Grand Rapids, Michigan, specializing in sterile injectable fill–finish serv...",Wikipedia,1003
Grann Pharmaceuticals,https://www.grannpharma.com/,San Marcos,,,Nucleic Acid Therapies,,BPG,1004
Gravitas Medical,https://www.gravitasmedinc.com/,San Francisco,,,Feeding Tube Monitor,,BPG,1005
Greenstone Biosciences,https://greenstonebio.com/,Palo Alto,,,,,BPG,1006
Grifols,https://www.grifols.com/en/home,Los Angeles,,,"Diagnostics, Plasma Derivatives",,BPG,1007
Gryphon Bio,https://www.gryphonbio.com/,South SF,,,Diagnostics for Brain Health,,BPG,1008
Guardant Health,https://guardanthealth.com/,Palo Alto,,,Biopsy-free Cancer Diagnostics,,BPG,1009
Gyder Surgical,https://gydersurgical.com/,Palo Alto,,,Surgical Devices,,BPG,1010
