Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
BP Logix Life Sciences,https://www.bplogix.com/life-sciences,Encinitas,,,Automation Software,,BPG,366
BPS Bioscience,https://bpsbioscience.com/,San Diego,,,Enzymes for Drug Discovery,,BPG,367
BTB Therapeutics,https://www.btbtherapeutics.com/en/,Escondido,,,Non-opioid therapies and novel RNA splicing modifiers,,BPG,368
BacStitch DNA,https://bacstitchdna.com/,South SF,,,Engineering Bacteria for DNA Production,,BPG,369
Bachem,https://www.bachem.com/,Torrance,,,"Contract Peptides, Oligos",,BPG,370
Bash Biotech,https://bashbio.com/,San Diego,,,"Kidney, Neuro Treatments",,BPG,371
Basilard BioTech,https://basilardbiotech.com/,Temecula,,,Gene Delivery Platform,,BPG,372
Bausch Health,https://www.bauschhealth.com/,Irvine,,,Small Molecules,,BPG,373
Baxter International,https://www.baxter.com,,,,,"Baxter International Inc. is an American multinational healthcare company with headquarters in Deerfield, Illinois.",Wikipedia,374
Bayer BioPartnering Solutions,https://www.bayer.com/en/us/BioPartneringSolutions,Berkeley,,,Biomanufacturing - recombinant protein and cell therapy modalities,,BPG,375
Baylx,https://www.baylxinc.com/,Irvine,,,Stem Cell Therapeutics,,BPG,376
Bayside Biosciences,http://baysidebio.com/,Santa Clara,,,Contract Preclinical Services,,BPG,377
BeOne Medicines,https://beonemedicines.us/,San Carlos,,,"Small Molecules, Monoclonal Antibodies",,BPG,378
BeOne Medicines,http://www.beigene.com/,,,,,"BeOne Medicines, formerly known as BeiGene, Ltd. is a multinational oncology company. It specializes in the development of drugs for cancer treatment.",Wikipedia,379
Beam Therapeutics,https://www.beamtx.com,,,,,"Beam Therapeutics Inc. is an American biotechnology company conducting research in the field of gene therapies and genome editing. The company is headquartered in Cambridge, Massachusetts.",Wikipedia,380
Becton Dickinson,https://www.bd.com/en-us,San Diego,,,Lots of Biotechnology Products,,BPG,381
Behavioral Pharma,https://www.behavioralpharma.com/,La Jolla,,,Preclinical Lab Services,,BPG,382
Bel Air Pharmaceuticals,https://www.belairpharmaceuticals.net,Beverly Hills,,,"Wound Care, Diagnostics, Pain Management",,BPG,383
Belharra Therapeutics,https://belharratx.com/,San Diego,,,"Small molecule drugs in oncology, immuno-oncology, autoimmune and neurodegenerative diseases",,BPG,384
Belite Bio,https://belitebio.com/#home,San Diego,,,Oral Small Molecules,,BPG,385
Beloteca,http://beloteca.com/index.html,San Diego,,,Generics & 505(b)(2) drugs,,BPG,386
Benchling,https://www.benchling.com/,San Francisco,,,Biotech Software,,BPG,387
