Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
Design Therapeutics,https://www.designtx.com/,Carlsbad,,,Drugs targeting disorders caused by nucleotide-repeat expansions,,BPG,732
Dextera Biosciences,https://dexterabio.com/,Berkeley,,,Synthetic D-Proteins,,BPG,734
DiNAQOR,https://www.dinaqor.com/,Laguna Hills,,,Gene Therapy for Heart Conditions,,BPG,735
Diadem Biotherapeutics,https://diadembio.com/,Torrance,,,Exosome Immunotherapy,,BPG,738
Diagnologix,https://www.diagnologix.com/,San Diego,,,Diagnostics,,BPG,739
Differentia Biotech,https://differentiabio.com/,South SF,,,Modeling & simulation Technology,,BPG,743
Diffuse Bio,https://www.diffuse.bio/,Menlo Park,,,Generative AI for Protein Design,,BPG,744
Diffusion Pharmaceuticals,http://www.diffusionpharma.com,,,,,"Diffusion Pharmaceuticals Inc (NASDAQ:DFFN) is a publicly traded biotechnology and drug development company based in Charlottesville, Virginia, U.S.",Wikipedia,745
Dispatch Bio,https://dispatchbio.com/,San Francisco,,,Immuno-oncology,,BPG,747
Dualitas Therapeutics,https://www.dualitastx.com/,South SF,,,Bispecific antibodies for immune and inflammatory diseases,,BPG,750
Dyve Biosciences,https://dyvebio.com/,Camarillo,,,Topicals,,BPG,755
EGeen,https://egeeninc.com/,Mountain View,,,Clinical Research,,BPG,758
EOC Pharma,https://www.eocpharma.com/,Westlake Village,,,In licensing for Chinese market,,BPG,759
EPOK Therapeutics,https://epoktherapeutics.com/,Hayward,,,EPOR receptor agonist,,BPG,760
EarlyDx,https://earlydx.com/,Agoura Hills,,,Liquid Biopsy,,BPG,765
Eclipse Regenesis,https://eclipseregenesis.com/,Mountain View,,,Tissue-Growing Device for Short Bowel Syndrome,,BPG,768
Editas Medicine,http://editasmedicine.com,,,,,"Editas Medicine, Inc., (formerly Gengine, Inc.), is a clinical-stage biotechnology company which is developing therapies for rare diseases based on CRISPR gene editing technology.",Wikipedia,772
Editpep,https://www.editpep.bio/,Berkeley,,,CRISPR Therapies,,BPG,773
Efemoral Medical,https://efemoralmedical.com/,Los Altos,,,Bioresorbable Therapies,,BPG,775
Eidogen-Sertanty,http://www.eidogen-sertanty.com/,Oceanside,,,Drug Discovery Software,,BPG,778
Elanco,https://www.elanco.com,,,,,Elanco Animal Health Incorporated is an American pharmaceutical company which produces medicines and vaccinations for pets and livestock.,Wikipedia,783
Electra Therapeutics,https://electra-therapeutics.com/,South SF,,,Therapies for immunological diseases and cancer,,BPG,784
Elevalue Laboratories,https://elevaluelab.com/,Berkeley,,,Contract Cell & Gene Therapy and Biologics,,BPG,790
Eli Lilly,https://www.lilly.com/,San Diego,,,Biologics Discovery,,BPG,793
Eliaz Therapeutics,https://www.eliaztherapeutics.com/,Santa Rosa,,,Extracorporeal Galectin-3 Removal,,BPG,794
Elios Vision,https://eliosvision.com/,Los Angeles,,,Glaucoma Procedure,,BPG,796
Eluciderm,https://www.eluciderm.com/,San Diego,,,Regenerative Dermatology,,BPG,799
Elutia,https://elutia.com/,Richmond,,,Drug-eluting biomatrix,,BPG,800
Emerzene,https://emerzene.com/,Vacaville,,,Non-addictive Pain Medicine,,BPG,805
Empirical Spine,https://www.limiflex.com/,San Carlos,,,Spinal Stenosis Device,,BPG,808
EnGen Bio,https://www.engenbio.com/,Redwood City,,,M1-targeting Flu Treatments,,BPG,810
Enable Medicine,https://www.enablemedicine.com/,Menlo Park,,,Spatial Biology,,BPG,812
Enabled Therapeutics,https://enabledtherapeutics.com/,San Francisco,,,Small Molecule Captons,,BPG,813
Encellin,https://www.encellin.com/,Mountain View,,,Ultra thin-film implantable cell delivery system,,BPG,814
Encoll,https://encoll.com/,Fremont,,,Collagen products,,BPG,817
EndoCyclic Therapeutics,https://www.endocyclictherapeutics.com/,Irvine,,,Endometriosis Therapies,,BPG,820
Endocyte,http://endocyte.com/,,,,,"Endocyte is a biopharmaceutical company established in 1996 and headquartered in West Lafayette, Indiana, a resident of the Purdue Research Park.",Wikipedia,822
Endogena Therapeutics,https://endogena.com/,San Francisco,,,Regenerative Medicine,,BPG,823
Endometrics,https://endometrics.us/,San Francisco,,,Non-invasive test for endometriosis,,BPG,825
Endonovo Therapeutics,https://endonovo.com/,Woodland Hills,,,"Electrical, non-invasive therapeutic devices",,BPG,826
Endovascular Engineering,https://endovascularengineering.com/,Menlo Park,,,Thrombectomy Device,,BPG,827
Endurance Bio,https://www.endurance-bio.com/,San Francisco,,,Oral Small Molecules,,BPG,829
Endure Biotherapeutics,https://endurebio.com/,San Diego,,,Engineered Native Bacteria,,BPG,830
Engage Bio,https://www.engagebio.com/,San Carlos,,,Tethosome Gene Therapy,,BPG,831
Engrail Therapeutics,https://www.engrail.com/,San Diego,,,Treatments for Life-Limiting Diseases,,BPG,833
Enlaza Therapeutics,https://enlazatx.com/,La Jolla,,,Covalent Biologics,,BPG,834
Enoda Cellworks,https://www.enoda.bio/,Menlo Park,,,Cell Therapy,,BPG,835
Ensho Therapeutics,https://www.enshorx.com/,San Francisco,,,Small Molecules Targeting IBD,,BPG,837
Entelexo Biotherapeutics,https://www.entelexo.com/,Irvine,,,Therapeutic Exosomes,,BPG,841
Eolo Pharma,https://eolo-pharma.com/,San Francisco,,,Obesity Treatment,,BPG,845
Epicrispr Biotechnologies,https://epicrispr.com/,South SF,,,Therapies to control gene expression,,BPG,849
Epinoma,https://www.epinoma.com/,San Carlos,,,Methyl-preserving amplification technology,,BPG,852
Epiodyne,https://epiodyne.com/,San Francisco,,,Small Molecule,,BPG,853
