Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
Brinter,https://brinter.com/,Santa Monica,,,"3D bioprinted bio-synthetic implants for soft tissue and cartilage repair, including meniscus and tendon",,BPG,488
Bristol Myers Squibb,https://www.bms.com/,Brisbane,,,"Small Molecules, Biologics",,BPG,489
BroadPharm,https://broadpharm.com/,San Diego,,,PEG & Biochemical Reagents,,BPG,490
Broadwing Bio,https://broadwing.bio/,South SF,,,Antibody based drugs for blindness,,BPG,491
Broncus Medical,https://www.broncus.com/,San Jose,,,"Virtual Bronchoscopic Navigation, Peripheral Lung Biopsy",,BPG,492
Bullseye Biosciences,https://www.bullseyebio.com/,San Francisco,,,Vascularized Organs,,BPG,493
Buto,https://butocorp.com/,Davis,,,Alzheimer's & Fibrotic Disease Treatments,,BPG,494
Butterfly Network,https://www.butterflynetwork.com/,Palo Alto,,,Subscription Ultrasound Device,,BPG,495
C.Light Technologies,https://www.clighttechnologies.com/,Santa Clara,,,Retinal Tracking for Disease Monitoring,,BPG,496
CAGE Bio,https://cagebio.com/,San Carlos,,,Deep Eutectic Ionic Liquids for Therapeutics,,BPG,497
CB Therapeutics,https://www.cbthera.com/,Carlsbad,,,Synthesis of Cannabinoids from Sugar,,BPG,498
CBCC Global Research,https://www.cbcc.global/,Bakersfield,,,Clinical Services,,BPG,499
CDR3 Therapeutics,https://cdr3therapeutics.com/,El Segundo,,,Stem Cell Therapy,,BPG,500
CERo Therapeutics,https://www.cero.bio/,South SF,,,Cellular Immunotherapy,,BPG,501
CG Oncology,https://cgoncology.com/,Irvine,,,Oncolytic Virus,,BPG,502
CGT Global,https://cgt.global/,Folsom,,,Tissue Sourcing,,BPG,503
CHO-plus,https://www.cho-plus.com/,South Sf,,,Engineered mammalian cell lines and transfection methods for vastly improved therapeutic protein production and sialylation,,BPG,504
CMR Naviscan,https://cmr-naviscan.com/,Carlsbad,,,Medical imaging technology,,BPG,505
CPC Scientific,https://cpcscientific.com/,San Jose,,,Peptides. Custom / Catalog.,,BPG,506
CPTx,https://cptx.bio/,South SF,,,Gene-encoding single-stranded DNA,,BPG,507
CRISPR QC,https://crisprqc.com/,San Diego,,,Quality Control for CRISPR,,BPG,508
CS Bio,https://www.csbio.com/,Menlo Park,,,Peptide Synthesizers & Custom Synthesis,,BPG,509
CSL Behring,http://www.cslbehring.com/,,,,,"CSL Behring is a biopharmaceutical company, manufacturing plasma-derived and recombinant therapeutic products.",Wikipedia,510
CSL Plasma,https://www.cslplasma.com/,,,,,CSL Plasma is a plasmapheresis company which claims to be one of the largest companies of its kind in the world.,Wikipedia,511
CTK Biotech,https://ctkbiotech.com/,Poway,,,Diagnostics,,BPG,512
CURE Pharmaceutical,https://curepharmaceutical.com/,Oxnard,,,Formulation; 505(b)(2),,BPG,513
CYMD,https://www.cymolecular.com/,San Diego,,,Oncology Diagnostics,,BPG,514
