Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index,Google_Address,Google_Name,Google_Website,Confidence_Score,Latitude,Longitude
LadRx,https://www.ladrxcorp.com/,Los Angeles,,,"Small Molecules, DNA",,BPG,1224,"11726 San Vicente Blvd, Los Angeles, CA 90049, USA",LadRx Corporation,https://www.ladrxcorp.com/contact-us/,0.9999999999999999,34.0530744,-118.4661471
Laguna Tech,https://lagunatechmed.com/,Irvine,,,Transcatheter aortic and mitral heart valve replacement systems,,BPG,1226,"30 Hughes STE 205, Irvine, CA 92618, USA",Laguna Tech USA Inc/ JVH,,0.7582608695652174,33.6537463,-117.7158488
LatchBio,https://latch.bio/,San Francisco,,,Cloud bioinformatics platform to help biological teams accelerate their R&D.,,BPG,1229,"185 Berry St, San Francisco, CA 94107, USA",LatchBio,http://latch.bio/,0.9999999999999999,37.7765419,-122.3920659
Latitude Pharmaceuticals,https://www.latitudepharma.com/,San Diego,,,Formulation Services,,BPG,1233,"9675 Businesspark Ave, San Diego, CA 92131, USA",LATITUDE Pharmaceuticals Inc.,http://www.latitudepharma.com/,0.9999999999999999,32.8985161,-117.1120364
LeGene Biosciences,http://legenebiosciences.com/,San Diego,,,Molecular Biology Reagents,,BPG,1235,"11403 W Bernardo Ct #100, San Diego, CA 92127, USA",LeGene Biosciences,http://www.legenebiosciences.com/,0.9999999999999999,33.0216998,-117.0841061
Leardon Solutions,https://www.leardon.com/,San Diego,,,Diagnostic and Device Development,,BPG,1238,"11956 Bernardo Plaza Dr # 216, San Diego, CA 92128, USA",Leardon Solutions,http://www.leardon.com/,0.9999999999999999,33.021535,-117.0729776
Level Zero Health,https://www.levelzerohealth.com/,San Francisco,,,Continuous Hormone Monitoring,,BPG,1241,"20 Water St, London E14 5GX, UK",Level Zero Health,http://www.levelzerohealth.com/,0.7999999999999999,51.502296,-0.0134995
Levena Biopharma,https://www.levenabiopharma.com/,San Diego,,,Antibody-drug Conjugation,,BPG,1242,"4955 Directors Pl, San Diego, CA 92121, USA",Levena Biopharma,http://www.levenabiopharma.com/,0.9999999999999999,32.89349900000001,-117.207816
Levita Magnetics,https://www.levita.com/,Mountain View,,,Magnetic Surgical System,,BPG,1243,"453 Ravendale Dr Suite G, Mountain View, CA 94043, USA",Levita Magnetics,https://www.levita.com/,0.9999999999999999,37.390518,-122.0511617
LevitasBio,https://levitasbio.com/,Menlo Park,,,Cellular Analysis using Magnetic Levitation,,BPG,1244,"1505 Adams Dr # D, Menlo Park, CA 94025, USA",LevitasBio,http://levitasbio.com/,0.9999999999999999,37.4787547,-122.1427021
Lexicon Pharmaceuticals,http://lexpharma.com,,,,,"Lexicon Pharmaceuticals, Inc. is a biopharmaceutical company developing treatments for human disease.",Wikipedia,1245,"2445 Technology Forest Blvd, The Woodlands, TX 77381, USA","Lexicon Pharmaceuticals, Inc",http://www.lexpharma.com/,0.7999999999999999,30.1731558,-95.4734395
LiVeritas Biosciences,https://liveritas.bio/,South SF,,,Mass Spec Analysis,,BPG,1246,"432 N Canal St STE 20, South San Francisco, CA 94080, USA",LiVeritas Biosciences,https://liveritas.bio/,0.9999999999999999,37.6526743,-122.4140126
LifeScience PLUS,https://lifescienceplus.com/,Mountain View,,,Wound care,,BPG,1249,"2520 Wyandotte St A, Mountain View, CA 94043, USA","LifeScience PLUS, Inc.",http://www.lifescienceplus.com/,0.9999999999999999,37.417243,-122.099831
LifeWave Biomedical,https://lifewavebiomed.com/,Los Altos,,,Heart Failure Monitoring Implant,,BPG,1251,"171 Main St Suite 583, Los Altos, CA 94022, USA",LifeWave Biomedical,http://www.lifewavebiomed.com/Contact-Us,0.9999999999999999,37.3802256,-122.1193569
Liferiver Bio-Tech Corp,https://liferiverbiotech.com/,La Jolla,,,"Diagnostics, Reagents",,BPG,1252,"505 Coast S Blvd Suite 401, La Jolla, CA 92037, USA",Liferiver Bio-Tech (US) Corp.,,0.7880000000000001,32.8431649,-117.2795624
Light Horse Therapeutics,https://lighthorsetx.com/,San Diego,,,Precision Gene Editing Applied to Small Molecule Drug Discovery,,BPG,1255,"6175 Nancy Ridge Dr, San Diego, CA 92121, USA",Light Horse Therapeutics,https://www.lighthorsetx.com/,0.9999999999999999,32.8882775,-117.1870066
LimFlow,https://limflow.com/,San Jose,,,Critical Limb Ischemia Treatment,,BPG,1257,"Plaza West, 3031 Tisch Way #110, San Jose, CA 95128, USA",LimFlow SA,http://www.limflow.com/,0.9760000000000001,37.317537,-121.9476266
Limb Preservation Platform,https://www.lppresearch.com/,Fresno,,,Clinical Research,,BPG,1258,"6215 N Fresno St #108, Fresno, CA 93710, USA",LPP Research,http://lppresearch.com/,0.8498575498575499,36.826782,-119.7817738
LinaTech,http://www.linatech.com/,Sunnyvale,,,Cancer treatment device,,BPG,1259,"1294 Kifer Rd STE 705, Sunnyvale, CA 94086, USA",Linatech LLC,http://www.linatech.com/,0.9999999999999999,37.3718554,-121.9894756
Link Cell Therapies,https://linkcelltx.com/,South SF,,,"Cell Therapies focused on CAR T, oncology",,BPG,1261,"220 E Grand Ave. 2nd floor, South San Francisco, CA 94080, USA",Link Cell Therapies,https://linkcelltx.com/,0.9999999999999999,37.6532341,-122.3991773
