Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index,Google_Address,Google_Name,Google_Website,Confidence_Score,Latitude,Longitude
Agendia,https://agendia.com/,Irvine,,,Breast Cancer Assay,,BPG,122,"22 Morgan, Irvine, CA 92618, USA",Agendia Inc.,https://www.agendia.com/,0.9999999999999999,33.649877,-117.710563
AgileBio,https://agilebio.com/,San Diego,,,IT Life Science Solutions,,BPG,123,"10945 Vista Sorrento Pkwy #150, San Diego, CA 92130, USA",AgileBio LLC,https://agilebio.com/,0.9999999999999999,32.914887,-117.2283981
Agilent,https://www.agilent.com/,Santa Clara,,,"High-Throughput Screening Equipment, Imaging instruments",,BPG,124,"5301 Stevens Creek Blvd, Santa Clara, CA 95051, USA","Agilent Technologies, Inc.",https://www.agilent.com/,0.9480000000000001,37.3248429,-121.9989752
Agios Pharmaceuticals,http://agios.com,,,,,Agios Pharmaceuticals Inc.,Wikipedia,125,"88 Sidney St, Cambridge, MA 02139, USA",Agios,https://www.agios.com/,0.7999999999999999,42.36049209999999,-71.1020525
Akero Therapeutics,https://akerotx.com/,South SF,,,NASH therapy,,BPG,135,"601 Gateway Blvd, South San Francisco, CA 94080, USA",Akero Therapeutics,https://akerotx.com/,0.9999999999999999,37.6581548,-122.3994255
AkrivisBio,https://www.akrivisbio.com/,San Jose,,,"Assays, Chemicals",,BPG,136,"48511 Warm Springs Blvd #213, Fremont, CA 94539, USA",AkrivisBio,https://www.akrivisbio.com/,0.9999999999999999,37.4682585,-121.9188215
Aladdin Scientific,https://www.aladdinsci.com/,Riverside,,,"Proteins, Chemicals, Antibodies",,BPG,138,"14078 Meridian Pkwy, Riverside, CA 92518, USA",Aladdin Scientific,https://www.aladdinsci.com/,0.9999999999999999,33.9150695,-117.2904819
Alamar Biosciences,https://alamarbio.com/,Fremont,,,Proteomic Liquid Biopsy Platform,,BPG,139,"47071 Bayside Pkwy, Fremont, CA 94538, USA","Alamar Biosciences, Inc.",https://alamarbio.com/,0.9999999999999999,37.4764907,-121.9390356
Alcon,https://www.alcon.com/,Irvine,,,Eye-Care Products,,BPG,140,"15800 Alton Pkwy, Irvine, CA 92618, USA",Alcon Laboratories,http://www.alcon.com,0.9999999999999999,33.6566614,-117.7620313
Alector,https://alector.com/,South SF,,,Alzheimer's Antibody Treatments,,BPG,141,"131 Oyster Point Blvd, South San Francisco, CA 94080, USA",Alector,http://alector.com/,0.9999999999999999,37.66286530000001,-122.3955216
Alexion Pharmaceuticals,https://www.alexion.com,,,,,"Alexion Pharmaceuticals, Inc., a subsidiary of AstraZeneca, is a pharmaceutical company headquartered in Boston, Massachusetts that specializes in orphan drugs to treat rare diseases.",Wikipedia,144,"270 E Grand Ave., South San Francisco, CA 94080, USA",Alexion Pharmaceuticals,http://www.alexion.com/,0.8999999999999999,37.6523469,-122.3955917
Alfa Scientific Designs,https://www.alfascientific.com/,Poway,,,Rapid POC Diagnostics,,BPG,145,"13200 Gregg St, Poway, CA 92064, USA",Alfa Scientific Designs,http://www.alfascientific.com/,0.9999999999999999,32.9379448,-117.0434371
Alida Biosciences,https://www.alidabio.com/,San Diego,,,Epigenetic analysis tools,,BPG,147,"11535 Sorrento Valley Rd Suite 407, San Diego, CA 92121, USA",Alida Biosciences Inc.,https://www.alidabio.com/,0.9999999999999999,32.9119952,-117.230987
Aligos Therapeutics,https://aligos.com/,South SF,,,Therapies for hepatologic diseases and viral infections,,BPG,149,"1 Corporate Dr, South San Francisco, CA 94080, USA",Aligos Therapeutics,https://www.aligos.com/,0.9999999999999999,37.6571324,-122.4024093
Alimentiv,https://alimentiv.com/,San Diego,,,Clinical Services,,BPG,150,"100 Dundas St #200, London, ON N6A 5B6, Canada",Alimentiv,http://www.alimentiv.com/,0.7999999999999999,42.9830735,-81.2525862
AlivaMab Biologics,https://alivamab.com/,San Diego,,,Antibody Discovery Services,,BPG,152,"10350 Barnes Canyon Rd Suite 100, San Diego, CA 92121, USA","AlivaMab Biologics, LLC",https://alivamab.com/,0.9999999999999999,32.9010471,-117.1949423
