Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
BTB Therapeutics,https://www.btbtherapeutics.com/en/,Escondido,,,Non-opioid therapies and novel RNA splicing modifiers,,BPG,368
BacStitch DNA,https://bacstitchdna.com/,South SF,,,Engineering Bacteria for DNA Production,,BPG,369
Bash Biotech,https://bashbio.com/,San Diego,,,"Kidney, Neuro Treatments",,BPG,371
Basilard BioTech,https://basilardbiotech.com/,Temecula,,,Gene Delivery Platform,,BPG,372
Bausch Health,https://www.bauschhealth.com/,Irvine,,,Small Molecules,,BPG,373
BeOne Medicines,https://beonemedicines.us/,San Carlos,,,"Small Molecules, Monoclonal Antibodies",,BPG,378
Becton Dickinson,https://www.bd.com/en-us,San Diego,,,Lots of Biotechnology Products,,BPG,381
Bel Air Pharmaceuticals,https://www.belairpharmaceuticals.net,Beverly Hills,,,"Wound Care, Diagnostics, Pain Management",,BPG,383
Benthic Genomics,https://www.benthic.bio/,Mountain View,,,Sequencing Solutions,,BPG,389
Bespoke Biotherapeutics,https://bespokebiotx.com/,San Mateo,,,Genome Engineered B-cell Therapeutics,,BPG,390
Big Eye Diagnostics,https://www.bigeyedx.com/,San Diego,,,All Terrain Diagnostics,,BPG,393
Bio4t2,https://bio4t2.com/,San Diego,,,CAR-T Cell Therapies,,BPG,398
BioCryst Pharmaceuticals,http://www.biocryst.com/,,,,,"BioCryst Pharmaceuticals, Inc. is an American pharmaceutical company headquartered in Durham, North Carolina.",Wikipedia,406
BioJiva,https://biojiva.com/,San Jose,,,,,BPG,412
BioMap,https://www.biomap.com/en/,Palo Alto,,,AI Models,,BPG,415
BioMarin Pharmaceutical,https://www.biomarin.com/,Novato,,,Biologics,,BPG,416
BioNTech,https://www.biontech.com/int/en/home.html,San Diego,,,"mRNA, Vaccines, Biologics",,BPG,417
BioSapien,https://biosapien.com/,San Diego,,,3D printed biodegradable mesh,,BPG,421
BioSciencesCorp,https://www.biosciencescorp.com/,San Ramon,,,Biologics Services & Consulting,,BPG,422
BioSpring,https://www.biospring.net/,La Jolla,,,Manufacturing & Analytical Services,,BPG,423
BioSuperior,https://bio-superior.com/,Los Altos,,,"Non-invasive, and easily accessible technologies to cure lung disease",,BPG,425
BioTechLogic,https://www.biotechlogic.com/,Walnut Creek,,,Biopharmaceutical Consulting,,BPG,427
BioTheryX,https://www.biotheryx.com/,San Diego,,,Small Molecules,,BPG,428
Biologic Input Output Systems,https://www.biologicinputoutputsystems.com/,Carlsbad,,,Implantable system connecting the human peripheral nervous system to robotic limbs and digital devices,,BPG,436
Biomarker Pharmaceuticals,http://www.biomarkerinc.com,San Jose,,,"Gene Expression, Nutraceuticals, Genotyping",,BPG,437
Biomonadic,https://www.biomonadic.com/,Berkeley,,,Klotho Gene Therapy,,BPG,442
Bioprocess AI,https://www.bioprocess.ai/,San Francisco,,,CMC Automation,,BPG,450
Biovest,http://www.biovest.com/cancer-vaccine-technology/biovaxidr/personalized-cancer-vaccine,,,,,"Biovest International, Inc (OTCQB: BVTI) was a Minneapolis-based biotechnology company.",Wikipedia,457
Biovista,http://www.biovista.com,,,,,"Biovista Inc. is a private drug development services company based in Charlottesville, Virginia, US.",Wikipedia,458
Blacksmith Medicines,https://blacksmithmedicines.com/,San Diego,,,Human Metalloenzyme-Targeted Medicines,,BPG,460
Block Drug,http://www.fundinguniverse.com/company-histories/block-drug-company-inc-history/,,,,,"Block Drug Company was a pharmaceutical company based in Jersey City, New Jersey, United States, that specialized in dental care products.",Wikipedia,461
Bloom Science,https://bloomscience.com/,San Diego,,,Microbiota-Based Drug Discovery,,BPG,462
BlueArc Biosciences,https://www.bluearcbio.com/,Del Mar,,,Diagnostics (Biosensors with Synthetic Biology,,BPG,464
BlueJay Therapeutics,https://bluejaytx.com/,Redwood City,,,"Monoclonal Antibody, Small Molecule",,BPG,465
Bolt Medical,https://boltmed.com/,Carlsbad,,,Intravascular Lithotripsy,,BPG,469
Borvo Medical,https://borvomedical.com/,Mountain View,,,Endoport Vacuum Assisted Collection,,BPG,473
Braveheart Bio,https://www.braveheart.bio/,San Francisco,,,Therapeutics for hypertrophic cardiomyopathy and related conditions,,BPG,477
Brenig Therapeutics,https://www.brenigther.com/,San Diego,,,Neurology-focused drug development company utilizing an AI/ML-based discovery platform,,BPG,478
BridgeBio Oncology Therapeutics,https://bridgebiooncology.com/,South SF,,,RAS-targeted small molecules,,BPG,481
Bright Cell,https://brightcellgroup.com/,Irvine,,,Stem Cell Banking. Technology,,BPG,483
Bright Uro,https://www.gleanuds.com/,Irvine,,,Urology Diagnostic Device,,BPG,484
BrightInsight,https://brightinsight.com/,San Jose,,,Digital Health Platform,,BPG,485
Brii Biosciences,https://www.briibio.com/,San Mateo,,,"SIRNA, Biologics, Monoclonal Antibodies, Small Molecules",,BPG,486
