Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
Nephroceuticals,http://www.nephroceuticals.com/,,,,,"Nephroceuticals is a pharmaceutical company based out of Miamisburg, Ohio.",Wikipedia,1473
Nervonik,https://nervonik.com/,Los Angeles,,,Miniaturized neuromodulation device,,BPG,1474
NeuTherX,https://www.neutherx.com/,San Jose,,,Organoid Cultivation,,BPG,1476
NeuralInk,https://neuralink.com/,Fremont,,,Neural Implants,,BPG,1479
NeuroInDx,https://ndx-instruments.com/,Torrance,,,Individual cell capture technology,,BPG,1483
NeuroQore,http://www.neuroqore.com/,Mountain View,,,Transcranial magnetic stimulation,,BPG,1486
NeuroSigma,https://www.neurosigma.com/,Los Angeles,,,Nerve stimulation technology,,BPG,1487
Neurocarrus,https://neurocarrus.com/,Monterey,,,Non-opioid pain relief,,BPG,1489
Neurolixis,http://neurolixis.com/home.html,,,,,Neurolixis is a biopharmaceutical company focused on novel drugs for the treatment of human central nervous system diseases. Neurolixis Inc. was founded in 2011 by Mark A.,Wikipedia,1492
Neuropathix,http://www.neuropathix.com/,,,,,"Neuropathix, Inc. is a biopharmaceutical company based in Doylestown, Pennsylvania focused on the research and development of pain management and neuroprotective therapeutics.",Wikipedia,1495
Neuvivo,https://www.neuvivo.com/,Palo Alto,,,ALS Therapies,,BPG,1500
New Biotic,https://www.newbiotic.com/,Irvine,,,Gut Bacteria-derived ALS Treatments,,BPG,1503
New England Compounding Center,http://www.neccrx.com/,,,,,"New England Compounding Center (NECC) is a compounding pharmacy founded in 1998, along with its sister companies Ameridose, Medical Sales Management Inc, and Alaunus Pharmaceutical LLC.",Wikipedia,1504
NewLimit,https://www.newlimit.com/,South SF,,,Epigenetic Reprogramming Therapies,,BPG,1507
Newave Pharmaceutical,https://www.newavepharma.com/,Pleasanton,,,Small Molecules,,BPG,1508
NextVivo,https://nextvivo.bio/,Palo Alto,,,3D Tissue Organoids,,BPG,1512
Niagen Bioscience,http://www.chromaDex.com,,,,,"Niagen Bioscience (NASDAQ: NAGE), formerly ChromaDex, is a bioscience сompany based in Los Angeles, California founded in 1999.",Wikipedia,1514
Nine Square Therapeutics,https://ninesquaretx.com/,South SF,,,Small Molecules for Neuro,,BPG,1517
Noah Medical,https://www.noahmed.com/,San Carlos,,,Surgical Imaging,,BPG,1525
Noetik,https://www.noetik.ai/,South SF,,,AI Cancer Immunotherapy Discovery,,BPG,1528
Nonagen Bioscience,https://www.nonagen.com/,Los Angeles,,,Diagnostics,,BPG,1529
NorthStrive Biotherapeutics,https://www.northstrivebio.com/,Newport Beach,,,Next-gen Obesity Treatments,,BPG,1530
Northwest Biotherapeutics,http://www.nwbio.com/,,,,,"Northwest Biotherapeutics, Inc. is a development-stage American pharmaceutical company headquartered in Maryland that focuses on developing immunotherapies against different types of cancer.",Wikipedia,1531
Novartis,https://www.novartis.com/,Emeryville,,,Diagnostics,,BPG,1535
Novartis Gene Therapies,https://www.dispatch.com/business/20180409/gene-therapy-company-with-research-ties-to-columbus-sold-to-novartis-for-87-billion,,,,,"Novartis Gene Therapies, until 2020 known as AveXis, is a biotechnology company that develops treatments for rare neurological genetic disorders.",Wikipedia,1536
Novavax,https://www.novavax.com/,,,,,"Novavax, Inc., based in Gaithersburg, Maryland, develops vaccines to counter infectious diseases. The company's first and only commercial product is the Novavax COVID-19 vaccine.",Wikipedia,1537
Novelna,https://novelna.com/,Palo Alto,,,Diagnostics,,BPG,1538
Novo Nordisk,https://www.novonordisk.com/,Fremont,,,Regenerative medicine and stem cell therapies,,BPG,1540
NovoBiotic Pharmaceuticals,http://www.novobiotic.com,,,,,"NovoBiotic Pharmaceuticals is a privately held, early-stage biotechnology company focused on the discovery and development of new drugs from natural sources.",Wikipedia,1541
Novocuff,https://www.novocuff.com/,Mountain View,,,Cervical Control System,,BPG,1543
Novus International,http://www.novusint.com,,,,,"Novus International, Inc. is an American animal health and nutrition company headquartered in St. Charles, Missouri.",Wikipedia,1547
Nowarta Biopharma,https://nowarta.com/index.html,Huntington Beach,,,Wart Treatment,,BPG,1548
Nurix Therapeutics,https://www.nurixtx.com/,San Francisco,,,"Small Molecules, Protein Degradation",,BPG,1556
Nutromics,https://www.nutromics.com/,San Diego,,,Wearable Diagnostic Device,,BPG,1558
Nuvation Bio,https://nuvationbio.com/,San Francisco,,,Oncology Treatments,,BPG,1559
Nuvie Bio,https://www.nuviebio.com/,San Diego,,,peptide therapy targeting calcitonin gene-related peptide receptor,,BPG,1560
Nuvig Therapeutics,https://www.nuvigtherapeutics.com/,Menlo Park,,,Novel therapeutics that induce mechanisms of immune homeostasis and treat autoimmune diseases,,BPG,1561
Nymox Pharmaceutical,https://nymox.com/,Irvine,,,Therapy for Enlarged Prostate,,BPG,1562
NysnoBio,https://www.nysnobio.com/,Mill Valley,,,Parkin protein therapeutics,,BPG,1563
OD-OS,https://www.od-os.com/,Irvine,,,Retinal Laser,,BPG,1565
OTU Medical,https://www.otumed.com/,Union City,,,"Consumable endoscopic instruments in urology, pulmonology and other areas",,BPG,1568
Oblenio Bio,https://www.obleniobio.com/,Oakland,,,T-cell engager antibody,,BPG,1570
Ocean Biomedical,https://www.oceanbiomedical.com/,,,,,"Ocean Biomedical is a new-generation American biopharmaceutical company based in Providence, Rhode Island. The company has product candidates addressing malaria, pulmonary fibrosis, and lung cancer.",Wikipedia,1571
Oddifact,https://www.oddifact.com/,Los Angeles,,,AI to discover off-label use,,BPG,1575
Okomera,https://okomera.com/,Sunnyvale,,,3D Organoid Screening Technology,,BPG,1577
Olive Diagnostics,https://www.olive.earth/,Menlo Park,,,Toilet Urinalysis,,BPG,1579
OmRx Oncology,https://omrxonc.com/,San Jose,,,Cancer Immunotherapy,,BPG,1580
Omicsveu,https://omicsveu.com/,Fremont,,,"Spatial Biology, Multi-omics",,BPG,1582
