Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
"Medical Marijuana, Inc.",http://medicalmarijuanainc.com/,,,,,"Medical Marijuana, Inc. (traded over the counter as MJNA) is a holding company with subsidiaries that make and sell a range of hemp-based products.",Wikipedia,1344
Medikine,https://www.medikine.com/,San Diego,,,"Small Molecules, Peptide",,BPG,1346
Medium Biosciences,https://medium.bio/,San Francisco,,,AI-designed Protein Therapeutics,,BPG,1348
Medrx,https://www.medrx.co.jp/english/index.html,Irvine,,,Transdermal Drug Improvements,,BPG,1350
Meliora Therapeutics,https://www.melioratherapeutics.com/,San Francisco,,,Mechanism-focused Oncology Drugs,,BPG,1355
Melzi Surgical,https://melzisurgical.com/,Los Altos,,,Surgical Sharps Finder,,BPG,1356
Mendaera,https://www.mendaera.com/,San Mateo,,,Medical Robotics,,BPG,1357
Mentholatum,http://www.mentholatum.com,,,,,"The Mentholatum Company, Inc. is a maker of non-prescription health care products founded in 1889 by Albert Alexander Hyde in the United States.",Wikipedia,1358
Merial,https://web.archive.org/web/20181125163750/http://merial.com/,,,,,"Merial was a multinational animal health company in Lyon, France. It was founded in 1997 as a joint venture between Merck & Co. and Sanofi-Aventis.",Wikipedia,1361
Meridian Medical Technologies,http://meridianmeds.com,,,,,"Meridian Medical Technologies, LLC is an American company which specialized primarily in developing and manufacturing antidotes for chemical weapons.",Wikipedia,1362
Merrimack Pharmaceuticals,http://merrimack.com,,,,,"Merrimack Pharmaceuticals, Inc. is a pharmaceutical company based in Cambridge, Massachusetts, United States. They specialize in developing drugs for the treatment of cancer.",Wikipedia,1363
Metaba,https://metaba.us/,Santa Monica,,,Antibiotics,,BPG,1364
Metabiomics,https://www.metabiomics.com/,Carlsbad,,,Stool test for cancer,,BPG,1365
Metabolomycs,https://www.metabolomycs.com/,Long Beach,,,Pancreatic Cancer Diagnostic,,BPG,1366
Metacrine,https://metacrine.com/,San Ramon,,,Metabolic diseases,,BPG,1367
MiCareo,https://www.micareo.com/,Burlingame,,,Rare Cell Analysis,,BPG,1369
MicrobeDx,https://microbedx.com/,Los Angeles,,,Real-time Personalized Antibiotic Selection,,BPG,1373
Microvascular Tissues,https://www.mvtissues.com/,San Diego,,,Off-the-shelf Human Microvascular Allograft,,BPG,1375
MicuRx Pharmaceuticals,https://www.micurxchina.com/en/home,Foster City,,,Antibiotics,,BPG,1376
Miist Therapeutics,https://www.miisttherapeutics.com/,Alameda,,,Inhalable Therapies,,BPG,1377
Millipore,https://www.sigmaaldrich.com/US/en,Temecula,,,"Purification, Analytic Biologics, Discovery",,BPG,1380
MindMed,https://mindmed.co,,,,,"Mind Medicine (MindMed) Inc., doing business as MindMed, is a New York-based biotechnology company that is currently developing clinical and therapeutic applications for psychedelic and, more broad...",Wikipedia,1382
MindRhythm,https://mindrhythm.com/,Cupertino,,,Headset for Stroke Triage,,BPG,1383
Minotaur Therapeutics,https://minotaurtherapeutics.com/,San Diego,,,Biologics Based on Cow Antibody Structure,,BPG,1388
Minutia,http://minutia.co/,Oakland,,,Cell Therapy - Diabetes,,BPG,1389
Mirador Therapeutics,https://miradortx.com/,San Diego,,,Drugs for inflammatory and fibrotic diseases,,BPG,1391
Miraomics,https://miraomics.bio/,Berkeley,,,Bioinformatics Service,,BPG,1392
Mithradote Bio,https://mithradote.com/,San Diego,,,Antidote against drink spiking,,BPG,1396
Mithrl,https://www.mithrl.com/,San Francisco,,,NGS Data Software,,BPG,1397
Mitrix bio,https://mitrix.bio,Pleasanton,,,Bioreactor-grown Mitochondria,,BPG,1398
Model Medicines,https://modelmedicines.com/,San Diego,,,AI Drug Discovery,,BPG,1400
Moderna,https://www.modernatx.com/,,,,,"Moderna, Inc. ( mə-DUR-nə) is an American pharmaceutical and biotechnology company based in Cambridge, Massachusetts, that focuses on RNA therapeutics, primarily mRNA vaccines.",Wikipedia,1401
Modular Medical,https://www.modularmedical.com/,San Diego,,,Insulin Pump,,BPG,1402
Modulo Bio,https://www.modulo.bio/,San Diego,,,Small Molecules for Neurological Conditions,,BPG,1403
Monoceros Biosystems,https://monocerosbio.com/,San Diego,,,Bioinformatics Services,,BPG,1409
Montara Therapeutics,https://montaratx.com/,San Francisco,,,Duel Composition Brain-Targeting Drugs,,BPG,1410
Moon Surgical,https://www.moonsurgical.com/,San Carlos,,,Robotic Surgery System,,BPG,1411
Mosaic ImmunoEngineering,https://www.mosaicie.com/,Huntington Beach,,,Nanotechnology-based immunotherapy,,BPG,1413
